CMPX_IDF_ID,CMPX_IDF_NM,NV_CMPX_NM,대상,KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,"CONCAT('INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES (','''',NC.NV_CMPX_ID,''',''',KC.CMPX_IDF_ID,''',1000000013,NOW(),1000000013,NOW());')"
KBA010928,논현동 월드메르디앙,논현월드메르디앙,Y,논현동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('22828','KBA010928',1000000013,NOW(),1000000013,NOW());"
KBA011464,논현두산위브,논현두산위브2단지,,논현동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('101321','KBA011464',1000000013,NOW(),1000000013,NOW());"
KBA011464,논현두산위브,논현두산위브1단지,,논현동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('9765','KBA011464',1000000013,NOW(),1000000013,NOW());"
KBA005804,한보미도맨션(1차),"한보미도맨션1,2차",,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('105','KBA005804',1000000013,NOW(),1000000013,NOW());"
KBA005804,한보미도맨션(1차),한보미도맨션3차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('11167','KBA005804',1000000013,NOW(),1000000013,NOW());"
KBA008495,한보미도맨션(2차),"한보미도맨션1,2차",,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('105','KBA008495',1000000013,NOW(),1000000013,NOW());"
KBA008495,한보미도맨션(2차),한보미도맨션3차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('11167','KBA008495',1000000013,NOW(),1000000013,NOW());"
KBA010006,쌍용대치(1차),대치쌍용1차,Y,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('185','KBA010006',1000000013,NOW(),1000000013,NOW());"
KBA011496,선릉역대우아이빌,월드빌,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102216','KBA011496',1000000013,NOW(),1000000013,NOW());"
KBA011496,선릉역대우아이빌,대치대우아이빌멤버스4차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('10393','KBA011496',1000000013,NOW(),1000000013,NOW());"
