"CMPX_IDF_ID","CMPX_IDF_NM","NV_CMPX_NM","KB_REGN_NM","KB_REGN_NM","KB_REGN_NM","CONCAT('INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES (','''',NC.NV_CMPX_ID,''',''',KC.CMPX_IDF_ID,''',1000000013,NOW(),1000000013,NOW());')"
"KBA002688","경남(1차)","개포상지리츠빌","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('107513','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","개포현대2차(220동)","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('10329','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","개포현대5차","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('8967','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","경남","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('28','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","뉴현대파크빌","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('118254','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","더샵그린","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('14947','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","렉스힐","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('104598','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","리더스","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102805','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","새롬","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('11078','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","쌍용개포","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('16228','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","우찬현대(101)","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102377','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","우찬현대(102)","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102378','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","우찬현대(103)","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102379','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","포이벨리","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('110128','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","포이현대","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('10863','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","한림","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('113016','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA002688","경남(1차)","현대빌라트","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('16229','KBA002688',1000000013,NOW(),1000000013,NOW());"
"KBA006134","잠실전화국주택조합(220동)","개포상지리츠빌","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('107513','KBA006134',1000000013,NOW(),1000000013,NOW());"
"KBA006134","잠실전화국주택조합(220동)","개포현대2차(220동)","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('10329','KBA006134',1000000013,NOW(),1000000013,NOW());"
"KBA006134","잠실전화국주택조합(220동)","개포현대5차","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('8967','KBA006134',1000000013,NOW(),1000000013,NOW());"
"KBA006134","잠실전화국주택조합(220동)","경남","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('28','KBA006134',1000000013,NOW(),1000000013,NOW());"
"KBA006134","잠실전화국주택조합(220동)","뉴현대파크빌","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('118254','KBA006134',1000000013,NOW(),1000000013,NOW());"
"KBA006134","잠실전화국주택조합(220동)","더샵그린","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('14947','KBA006134',1000000013,NOW(),1000000013,NOW());"
"KBA006134","잠실전화국주택조합(220동)","렉스힐","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('104598','KBA006134',1000000013,NOW(),1000000013,NOW());"
