KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,REG_USER_ID
개포동,강남구,서울특별시,KBA002688,경남(1차),408,678,경남,28,"104.98㎡/96.98㎡&,148.76㎡/123.28㎡&,185.12㎡/166.48㎡&","면적97㎡&,면적104㎡&,면적107㎡&,면적146㎡&,면적158㎡&,면적180㎡&,면적194㎡&,면적198㎡&",1000000015
개포동,강남구,서울특별시,KBA010239,경남(2차),270,678,경남,28,"99.17㎡/91.91㎡&,158.67㎡/149.21㎡&,195.04㎡/182.2㎡&","면적97㎡&,면적104㎡&,면적107㎡&,면적146㎡&,면적158㎡&,면적180㎡&,면적194㎡&,면적198㎡&",1000000015
개포동,강남구,서울특별시,KBA006284,우성9차.,232,234,우성9차,881,"98.21㎡/81.42㎡&,101.71㎡/84.9㎡&","면적98㎡&,면적101㎡&",1000000003
논현동,강남구,서울특별시,KBA007359,청학,69,70,청학,3042,"87.15㎡/85.12㎡&,99.65㎡/97.18㎡&","면적87㎡&,면적99㎡&",1000000001
대치동,강남구,서울특별시,KBA019779,하이캐슬(101동),50,67,하이캐슬,102325,"104.16㎡/84.27㎡&,104.13㎡/84.06㎡&","면적104A㎡&,면적104B㎡&,면적104C㎡&,면적105D㎡&,면적111㎡&,면적125㎡&,면적129㎡&,면적138㎡&,면적146㎡&,면적155㎡&,면적162㎡&,면적191㎡&",1000000012
대치동,강남구,서울특별시,KBA011499,대치동대우아이빌멤버스,139,134,대치대우아이빌멤버스4차,10393,"31.9㎡/25.52㎡&,39.26㎡/31.41㎡&,44.06㎡/35.31㎡&,51.82㎡/41.45㎡&,53.57㎡/42.84㎡&,58.62㎡/46.88㎡&,68.74㎡/54.96㎡&","면적31㎡&,면적39㎡&,면적44㎡&,면적45㎡&,면적51㎡&,면적53㎡&,면적58㎡&,면적63㎡&,면적68㎡&",1000000014
대치동,강남구,서울특별시,KBA005804,한보미도맨션(1차),1204,2435,"한보미도맨션1,2차",105,"112.39㎡/84.48㎡&,152.06㎡/128.01㎡&,188.43㎡/161.36㎡&,221.48㎡/191.07㎡&","면적113A㎡&,면적114B㎡&,면적135㎡&,면적148㎡&,면적152㎡&,면적183㎡&,면적188㎡&,면적217㎡&,면적220㎡&",1000000015
대치동,강남구,서울특별시,KBA008495,한보미도맨션(2차),1232,2435,"한보미도맨션1,2차",105,"115.7㎡/84.96㎡&,135.53㎡/115.05㎡&,148.76㎡/126.33㎡&,185.12㎡/159.15㎡&,218.18㎡/190.47㎡&","면적113A㎡&,면적114B㎡&,면적135㎡&,면적148㎡&,면적152㎡&,면적183㎡&,면적188㎡&,면적217㎡&,면적220㎡&",1000000015
대치동,강남구,서울특별시,KBA003026,선경(1차),644,1034,"선경1,2차",154,"138.84㎡/128.32㎡&,158.67㎡/136.67㎡&,188.43㎡/163.94㎡&,102.47㎡/94.89㎡&","면적101A㎡&,면적102B㎡&,면적137㎡&,면적148㎡&,면적157㎡&,면적182㎡&,면적186㎡&",1000000015
대치동,강남구,서울특별시,KBA010576,선경(2차),390,1034,"선경1,2차",154,"102.47㎡/84.55㎡&,148.76㎡/127.75㎡&,181.81㎡/160.76㎡&","면적101A㎡&,면적102B㎡&,면적137㎡&,면적148㎡&,면적157㎡&,면적182㎡&,면적186㎡&",1000000015
도곡동,강남구,서울특별시,KBA001081,매봉(삼성),110,132,매봉,334,"70.84㎡/59.82㎡&,100.61㎡/83.49㎡&","면적70㎡&,면적98A㎡&,면적100B㎡&",1000000015
도곡동,강남구,서울특별시,KBA009283,현대비젼21,437,232,현대비젼21,8331,"50.9㎡/32.65㎡&,51.6㎡/33.1㎡&,54.55㎡/34.99㎡&,66.57㎡/42.7㎡&","면적50㎡&,면적51㎡&,면적54㎡&,면적66㎡&",1000000001
삼성동,강남구,서울특별시,KBA000897,진흥,630,255,진흥,100285,"109.09㎡/83.58㎡&,180.67㎡/170㎡&,224.79㎡/196.73㎡&","면적110㎡&,면적180㎡&,면적221㎡&",1000000001
삼성동,강남구,서울특별시,KBA012337,삼성리치빌,59,48,삼성리치빌,13609,84.98㎡/84.96㎡&,면적99㎡&,1000000001
삼성동,강남구,서울특별시,KBA011476,삼부,83,48,강변삼부,8404,"81.38㎡/59.61㎡&,81.68㎡/59.85㎡&,110.87㎡/81.21㎡&,113.81㎡/83.39㎡&,125.73복층㎡/92.09㎡&","면적100㎡&,면적135㎡&",1000000013
수서동,강남구,서울특별시,KBA008997,까치마을,1410,1403,까치마을,641,"49.01㎡/34.44㎡&,56.36㎡/39.6㎡&,70.45㎡/49.5㎡&","면적49㎡&,면적56㎡&,면적70㎡&",1000000001
