KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,SUM_HSHL_CNT,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,NV_URL,KB_URL,기매핑건수
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,538,538,대림,10114,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적111A㎡^,면적111B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10114,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,67,67,신이모닝빌,10116,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적74㎡^,면적86㎡^,면적104㎡^,면적105B㎡^,면적105A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10116,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,19,19,충효파크타운,101398,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적74㎡^,면적77A㎡^,면적77B㎡^,면적80A㎡^,면적80B㎡^,면적83A㎡^,면적84B㎡^,면적88㎡^,면적90㎡^,면적93A㎡^,면적94B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=101398,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,19,19,상계센트럴타워,102811,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적116A㎡^,면적117B㎡^,면적117C㎡^,면적169㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=102811,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,95,95,상록수1단지,10288,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적76㎡^,면적77㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10288,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,10,10,수락파크,103156,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적64㎡^,면적67㎡^,면적82㎡^,면적87㎡^,면적94A㎡^,면적95B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=103156,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,45,45,수락산늘푸른,103330,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적126㎡^,면적149A㎡^,면적149B㎡^,면적151㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=103330,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,64,64,동신라메르(도시형),103514,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적29E㎡^,면적30F㎡^,면적32H㎡^,면적33D㎡^,면적33G㎡^,면적35A㎡^,면적35B㎡^,면적36C㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=103514,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,30,30,송이월드,103990,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적48㎡^,면적71㎡^,면적75A㎡^,면적76B㎡^,면적82A㎡^,면적84B㎡^,면적84㎡^,면적88A㎡^,면적88㎡^,면적91A㎡^,면적91B㎡^,면적93㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=103990,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,468,468,수락파크빌,10433,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적105A㎡^,면적105C㎡^,면적105B㎡^,면적142㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10433,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
