KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,SUM_HSHL_CNT,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,NV_URL,KB_URL,기매핑건수,KB_REGN_CD
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,584,584,남양i-좋은집2단지,100181,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적89㎡^,면적94㎡^,면적109㎡^,면적146㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=100181,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,94,94,남양i-좋은집3단지,100182,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적109㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=100182,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,30,30,양지,100271,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적39㎡^,면적44㎡^,면적67A㎡^,면적67B㎡^,면적67A㎡^,면적68B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=100271,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,18,18,동양,100444,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적71A㎡^,면적71B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=100444,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,18,18,동화,100565,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적72㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=100565,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,86,86,부영사랑으로,102083,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적91㎡^,면적112㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=102083,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,382,382,남양i-좋은집1단지,10209,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적83㎡^,면적94㎡^,면적109㎡^,면적146㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10209,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,10,10,건영,103666,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적71A㎡^,면적73B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=103666,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,767,767,한화꿈에그린,10431,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적81B㎡^,면적81A㎡^,면적107㎡^,면적113㎡^,면적154㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10431,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,10,10,아림,104659,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적72㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=104659,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA001232,부영그린타운(1단지),1086,80,80,제일,10467,"151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적84㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=10467,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001232&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
