법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4800000000,경상남도,,15,,,,경상남도,4800000000,4800000000
4812000000,경상남도 창원시,,01,20100701,,,창원시,4812000000,4812000000
4812100000,경상남도 창원시 의창구,,01,20100701,,,창원시 의창구,4812100000,4812100000
4812110100,경상남도 창원시 의창구 북동,,01,20100701,,,북동,4812110100,4812110100
4812110200,경상남도 창원시 의창구 중동,,01,20100701,,,중동,4812110200,4812110200
4812110300,경상남도 창원시 의창구 서상동,,01,20100701,,,서상동,4812110300,4812110300
4812110400,경상남도 창원시 의창구 소답동,,01,20100701,,,소답동,4812110400,4812110400
4812110500,경상남도 창원시 의창구 도계동,,01,20100701,,,도계동,4812110500,4812110500
4812110600,경상남도 창원시 의창구 동정동,,01,20100701,,,동정동,4812110600,4812110600
4812110700,경상남도 창원시 의창구 소계동,,01,20100701,,,소계동,4812110700,4812110700
4812110800,경상남도 창원시 의창구 용동,,01,20100701,,,용동,4812110800,4812110800
4812110900,경상남도 창원시 의창구 용지동,,01,20100701,,,용지동,4812110900,4812110900
4812111000,경상남도 창원시 의창구 삼동동,,01,20100701,,,삼동동,4812111000,4812111000
4812111100,경상남도 창원시 의창구 두대동,,01,20100701,,,두대동,4812111100,4812111100
4812111200,경상남도 창원시 의창구 덕정동,,01,20100701,,,덕정동,4812111200,4812111200
4812111300,경상남도 창원시 의창구 지귀동,,01,20100701,,,지귀동,4812111300,4812111300
4812111400,경상남도 창원시 의창구 서곡동,,01,20100701,,,서곡동,4812111400,4812111400
4812111500,경상남도 창원시 의창구 반송동,,01,20100701,,,반송동,4812111500,4812111500
4812111600,경상남도 창원시 의창구 봉림동,,01,20100701,,,봉림동,4812111600,4812111600
4812111700,경상남도 창원시 의창구 퇴촌동,,01,20100701,,,퇴촌동,4812111700,4812111700
4812111800,경상남도 창원시 의창구 명곡동,,01,20100701,,,명곡동,4812111800,4812111800
