법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
3611000000,세종특별자치시,,01,20120701,,,세종특별자치시,3611000000,3611000000
3611010100,세종특별자치시  반곡동,,01,20120701,,,반곡동,3611010100,3611010100
3611010200,세종특별자치시  소담동,,01,20120701,,,소담동,3611010200,3611010200
3611010300,세종특별자치시  보람동,,01,20120701,,,보람동,3611010300,3611010300
3611010400,세종특별자치시  대평동,,01,20120701,,,대평동,3611010400,3611010400
3611010500,세종특별자치시  가람동,,01,20120701,,,가람동,3611010500,3611010500
3611010600,세종특별자치시  한솔동,,01,20120701,,,한솔동,3611010600,3611010600
3611010700,세종특별자치시  나성동,,01,20120701,,,나성동,3611010700,3611010700
3611010800,세종특별자치시  새롬동,,01,20120701,,,새롬동,3611010800,3611010800
3611010900,세종특별자치시  다정동,,01,20120701,,,다정동,3611010900,3611010900
3611011000,세종특별자치시  어진동,,01,20120701,,,어진동,3611011000,3611011000
3611011100,세종특별자치시  종촌동,,01,20120701,,,종촌동,3611011100,3611011100
3611011200,세종특별자치시  고운동,,01,20120701,,,고운동,3611011200,3611011200
3611011300,세종특별자치시  아름동,,01,20120701,,,아름동,3611011300,3611011300
3611011400,세종특별자치시  도담동,,01,20120701,,,도담동,3611011400,3611011400
3611025000,세종특별자치시  조치원읍,,01,20120701,,,조치원읍,3611025000,3611025000
3611025021,세종특별자치시  조치원읍 원리,,02,20120701,,,원리,3611025021,3611025021
3611025022,세종특별자치시  조치원읍 상리,,03,20120701,,,상리,3611025022,3611025022
3611025023,세종특별자치시  조치원읍 평리,,01,20120701,,,평리,3611025023,3611025023
3611025024,세종특별자치시  조치원읍 교리,,01,20120701,,,교리,3611025024,3611025024
3611025025,세종특별자치시  조치원읍 정리,,01,20120701,,,정리,3611025025,3611025025
3611025026,세종특별자치시  조치원읍 명리,,01,20120701,,,명리,3611025026,3611025026
3611025027,세종특별자치시  조치원읍 남리,,01,20120701,,,남리,3611025027,3611025027
3611025028,세종특별자치시  조치원읍 침산리,,01,20120701,,,침산리,3611025028,3611025028
3611025029,세종특별자치시  조치원읍 신흥리,,01,20120701,,,신흥리,3611025029,3611025029
3611025030,세종특별자치시  조치원읍 죽림리,,01,20120701,,,죽림리,3611025030,3611025030
3611025031,세종특별자치시  조치원읍 번암리,,01,20120701,,,번암리,3611025031,3611025031
3611025032,세종특별자치시  조치원읍 신안리,,01,20120701,,,신안리,3611025032,3611025032
3611025033,세종특별자치시  조치원읍 봉산리,,01,20120701,,,봉산리,3611025033,3611025033
