법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
3100000000,울산광역시,,07,,,,울산광역시,3100000000,3100000000
3111000000,울산광역시 중구,,01,,,,중구,3111000000,3111000000
3111010100,울산광역시 중구 학성동,,01,,,,학성동,3111010100,3111010100
3111010200,울산광역시 중구 학산동,,02,,,,학산동,3111010200,3111010200
3111010300,울산광역시 중구 복산동,,03,,,,복산동,3111010300,3111010300
3111010400,울산광역시 중구 북정동,,04,,,,북정동,3111010400,3111010400
3111010500,울산광역시 중구 옥교동,,05,,,,옥교동,3111010500,3111010500
3111010600,울산광역시 중구 성남동,,06,,,,성남동,3111010600,3111010600
3111010700,울산광역시 중구 교동,,07,,,,교동,3111010700,3111010700
3111010800,울산광역시 중구 우정동,,08,,,,우정동,3111010800,3111010800
3111010900,울산광역시 중구 성안동,,09,,,,성안동,3111010900,3111010900
3111011000,울산광역시 중구 유곡동,,10,,,,유곡동,3111011000,3111011000
3111011100,울산광역시 중구 태화동,,11,,,,태화동,3111011100,3111011100
3111011200,울산광역시 중구 다운동,,12,,,,다운동,3111011200,3111011200
3111011300,울산광역시 중구 동동,,13,,,,동동,3111011300,3111011300
3111011400,울산광역시 중구 서동,,14,,,,서동,3111011400,3111011400
3111011500,울산광역시 중구 남외동,,15,,,,남외동,3111011500,3111011500
3111011600,울산광역시 중구 장현동,,16,,,,장현동,3111011600,3111011600
3111011700,울산광역시 중구 약사동,,17,,,,약사동,3111011700,3111011700
3111011800,울산광역시 중구 반구동,,18,,,,반구동,3111011800,3111011800
3114000000,울산광역시 남구,,02,,,,남구,3114000000,3114000000
3114010100,울산광역시 남구 무거동,,01,,,,무거동,3114010100,3114010100
3114010200,울산광역시 남구 옥동,,02,,,,옥동,3114010200,3114010200
3114010300,울산광역시 남구 두왕동,,03,,,,두왕동,3114010300,3114010300
3114010400,울산광역시 남구 신정동,,04,,,,신정동,3114010400,3114010400
3114010500,울산광역시 남구 달동,,05,,,,달동,3114010500,3114010500
3114010600,울산광역시 남구 삼산동,,06,,,,삼산동,3114010600,3114010600
3114010700,울산광역시 남구 여천동,,07,,,,여천동,3114010700,3114010700
3114010800,울산광역시 남구 야음동,,08,,,,야음동,3114010800,3114010800
3114010900,울산광역시 남구 선암동,,09,,,,선암동,3114010900,3114010900
3114011000,울산광역시 남구 상개동,,10,,,,상개동,3114011000,3114011000
3114011100,울산광역시 남구 부곡동,,11,,,,부곡동,3114011100,3114011100
3114011200,울산광역시 남구 고사동,,12,,,,고사동,3114011200,3114011200
3114011300,울산광역시 남구 성암동,,13,,,,성암동,3114011300,3114011300
3114011400,울산광역시 남구 황성동,,14,,,,황성동,3114011400,3114011400
3114011500,울산광역시 남구 용연동,,15,,,,용연동,3114011500,3114011500
3114011600,울산광역시 남구 남화동,,16,,,,남화동,3114011600,3114011600
3114011700,울산광역시 남구 용잠동,,17,,,,용잠동,3114011700,3114011700
3114011800,울산광역시 남구 장생포동,,18,,,,장생포동,3114011800,3114011800
3114011900,울산광역시 남구 매암동,,19,,,,매암동,3114011900,3114011900
3117000000,울산광역시 동구,,03,,,,동구,3117000000,3117000000
3117010100,울산광역시 동구 방어동,,01,,,,방어동,3117010100,3117010100
3117010200,울산광역시 동구 화정동,,02,,,,화정동,3117010200,3117010200
3117010300,울산광역시 동구 일산동,,03,,,,일산동,3117010300,3117010300
3117010400,울산광역시 동구 전하동,,04,,,,전하동,3117010400,3117010400
3117010500,울산광역시 동구 미포동,,05,,,,미포동,3117010500,3117010500
3117010600,울산광역시 동구 주전동,,06,,,,주전동,3117010600,3117010600
3117010700,울산광역시 동구 동부동,,07,,,,동부동,3117010700,3117010700
3117010800,울산광역시 동구 서부동,,08,,,,서부동,3117010800,3117010800
3120000000,울산광역시 북구,,04,,,,북구,3120000000,3120000000
3120010100,울산광역시 북구 창평동,,01,,,,창평동,3120010100,3120010100
3120010200,울산광역시 북구 호계동,,02,,,,호계동,3120010200,3120010200
3120010300,울산광역시 북구 매곡동,,03,,,,매곡동,3120010300,3120010300
3120010400,울산광역시 북구 가대동,,04,,,,가대동,3120010400,3120010400
3120010500,울산광역시 북구 신천동,,05,,,,신천동,3120010500,3120010500
3120010600,울산광역시 북구 중산동,,06,,,,중산동,3120010600,3120010600
3120010700,울산광역시 북구 상안동,,07,,,,상안동,3120010700,3120010700
3120010800,울산광역시 북구 천곡동,,08,,,,천곡동,3120010800,3120010800
3120010900,울산광역시 북구 달천동,,09,,,,달천동,3120010900,3120010900
3120011000,울산광역시 북구 시례동,,10,,,,시례동,3120011000,3120011000
3120011100,울산광역시 북구 무룡동,,11,,,,무룡동,3120011100,3120011100
3120011200,울산광역시 북구 구유동,,12,,,,구유동,3120011200,3120011200
3120011300,울산광역시 북구 정자동,,13,,,,정자동,3120011300,3120011300
3120011400,울산광역시 북구 신명동,,14,,,,신명동,3120011400,3120011400
3120011500,울산광역시 북구 대안동,,15,,,,대안동,3120011500,3120011500
3120011600,울산광역시 북구 당사동,,16,,,,당사동,3120011600,3120011600
3120011700,울산광역시 북구 신현동,,17,,,,신현동,3120011700,3120011700
3120011800,울산광역시 북구 산하동,,18,,,,산하동,3120011800,3120011800
3120011900,울산광역시 북구 어물동,,19,,,,어물동,3120011900,3120011900
3120012000,울산광역시 북구 명촌동,,20,,,,명촌동,3120012000,3120012000
3120012100,울산광역시 북구 진장동,,21,,,,진장동,3120012100,3120012100
3120012200,울산광역시 북구 연암동,,22,,,,연암동,3120012200,3120012200
3120012300,울산광역시 북구 효문동,,23,,,,효문동,3120012300,3120012300
3120012400,울산광역시 북구 양정동,,24,,,,양정동,3120012400,3120012400
3120012500,울산광역시 북구 화봉동,,25,,,,화봉동,3120012500,3120012500
3120012600,울산광역시 북구 송정동,,26,,,,송정동,3120012600,3120012600
3120012700,울산광역시 북구 염포동,,27,,,,염포동,3120012700,3120012700
3171000000,울산광역시 울주군,,05,,,,울주군,3171000000,3171000000
3171025000,울산광역시 울주군 온산읍,,01,,,,온산읍,3171025000,3171025000
3171025021,울산광역시 울주군 온산읍 화산리,,01,,,,화산리,3171025021,3171025021
3171025022,울산광역시 울주군 온산읍 삼평리,,02,,,,삼평리,3171025022,3171025022
3171025023,울산광역시 울주군 온산읍 강양리,,03,,,,강양리,3171025023,3171025023
3171025024,울산광역시 울주군 온산읍 우봉리,,04,,,,우봉리,3171025024,3171025024
3171025025,울산광역시 울주군 온산읍 당월리,,05,,,,당월리,3171025025,3171025025
3171025026,울산광역시 울주군 온산읍 처용리,,06,,,,처용리,3171025026,3171025026
3171025027,울산광역시 울주군 온산읍 산암리,,07,,,,산암리,3171025027,3171025027
3171025028,울산광역시 울주군 온산읍 대정리,,08,,,,대정리,3171025028,3171025028
3171025029,울산광역시 울주군 온산읍 방도리,,09,,,,방도리,3171025029,3171025029
3171025030,울산광역시 울주군 온산읍 이진리,,10,,,,이진리,3171025030,3171025030
3171025031,울산광역시 울주군 온산읍 원산리,,11,,,,원산리,3171025031,3171025031
3171025032,울산광역시 울주군 온산읍 덕신리,,12,,,,덕신리,3171025032,3171025032
3171025033,울산광역시 울주군 온산읍 학남리,,13,,,,학남리,3171025033,3171025033
3171025300,울산광역시 울주군 언양읍,,02,,,,언양읍,3171025300,3171025300
3171025321,울산광역시 울주군 언양읍 반송리,,01,,,,반송리,3171025321,3171025321
3171025322,울산광역시 울주군 언양읍 반천리,,02,,,,반천리,3171025322,3171025322
3171025323,울산광역시 울주군 언양읍 반곡리,,03,,,,반곡리,3171025323,3171025323
3171025324,울산광역시 울주군 언양읍 어음리,,04,,,,어음리,3171025324,3171025324
3171025325,울산광역시 울주군 언양읍 송대리,,05,,,,송대리,3171025325,3171025325
3171025326,울산광역시 울주군 언양읍 평리,,06,,,,평리,3171025326,3171025326
3171025327,울산광역시 울주군 언양읍 다개리,,07,,,,다개리,3171025327,3171025327
3171025328,울산광역시 울주군 언양읍 대곡리,,08,,,,대곡리,3171025328,3171025328
3171025329,울산광역시 울주군 언양읍 직동리,,09,,,,직동리,3171025329,3171025329
3171025330,울산광역시 울주군 언양읍 동부리,,10,,,,동부리,3171025330,3171025330
3171025331,울산광역시 울주군 언양읍 서부리,,11,,,,서부리,3171025331,3171025331
3171025332,울산광역시 울주군 언양읍 남부리,,12,,,,남부리,3171025332,3171025332
3171025333,울산광역시 울주군 언양읍 반연리,,13,,,,반연리,3171025333,3171025333
3171025334,울산광역시 울주군 언양읍 태기리,,14,,,,태기리,3171025334,3171025334
3171025335,울산광역시 울주군 언양읍 구수리,,15,,,,구수리,3171025335,3171025335
3171025600,울산광역시 울주군 온양읍,3171000000,01,,,,온양읍,3171025600,3171025600
3171025621,울산광역시 울주군 온양읍 발리,3171025600,01,,,,발리,3171025621,3171025621
3171025622,울산광역시 울주군 온양읍 대안리,3171025600,01,,,,대안리,3171025622,3171025622
3171025623,울산광역시 울주군 온양읍 망양리,3171025600,01,,,,망양리,3171025623,3171025623
3171025624,울산광역시 울주군 온양읍 남창리,3171025600,01,,,,남창리,3171025624,3171025624
3171025625,울산광역시 울주군 온양읍 동상리,3171025600,01,,,,동상리,3171025625,3171025625
3171025626,울산광역시 울주군 온양읍 삼광리,3171025600,01,,,,삼광리,3171025626,3171025626
3171025627,울산광역시 울주군 온양읍 내광리,3171025600,01,,,,내광리,3171025627,3171025627
3171025628,울산광역시 울주군 온양읍 외광리,3171025600,01,,,,외광리,3171025628,3171025628
3171025629,울산광역시 울주군 온양읍 운화리,3171025600,01,,,,운화리,3171025629,3171025629
3171025630,울산광역시 울주군 온양읍 고산리,3171025600,01,,,,고산리,3171025630,3171025630
3171025900,울산광역시 울주군 범서읍,3171000000,01,,,,범서읍,3171025900,3171025900
3171025921,울산광역시 울주군 범서읍 사연리,3171025900,01,,,,사연리,3171025921,3171025921
3171025922,울산광역시 울주군 범서읍 천상리,3171025900,01,,,,천상리,3171025922,3171025922
3171025923,울산광역시 울주군 범서읍 입암리,3171025900,01,,,,입암리,3171025923,3171025923
3171025924,울산광역시 울주군 범서읍 굴화리,3171025900,01,,,,굴화리,3171025924,3171025924
3171025925,울산광역시 울주군 범서읍 서사리,3171025900,01,,,,서사리,3171025925,3171025925
3171025926,울산광역시 울주군 범서읍 두산리,3171025900,01,,,,두산리,3171025926,3171025926
3171025927,울산광역시 울주군 범서읍 구영리,3171025900,01,,,,구영리,3171025927,3171025927
3171025928,울산광역시 울주군 범서읍 중리,3171025900,01,,,,중리,3171025928,3171025928
3171025929,울산광역시 울주군 범서읍 망성리,3171025900,01,,,,망성리,3171025929,3171025929
3171025930,울산광역시 울주군 범서읍 척과리,3171025900,01,,,,척과리,3171025930,3171025930
3171031000,울산광역시 울주군 서생면,,03,,,,서생면,3171031000,3171031000
3171031021,울산광역시 울주군 서생면 신암리,,01,,,,신암리,3171031021,3171031021
3171031022,울산광역시 울주군 서생면 명산리,,02,,,,명산리,3171031022,3171031022
3171031023,울산광역시 울주군 서생면 나사리,,03,,,,나사리,3171031023,3171031023
3171031024,울산광역시 울주군 서생면 화산리,,04,,,,화산리,3171031024,3171031024
3171031025,울산광역시 울주군 서생면 대송리,,05,,,,대송리,3171031025,3171031025
3171031026,울산광역시 울주군 서생면 용리,,06,,,,용리,3171031026,3171031026
3171031027,울산광역시 울주군 서생면 서생리,,07,,,,서생리,3171031027,3171031027
3171031028,울산광역시 울주군 서생면 진하리,,08,,,,진하리,3171031028,3171031028
3171031029,울산광역시 울주군 서생면 화정리,,09,,,,화정리,3171031029,3171031029
3171031030,울산광역시 울주군 서생면 위양리,,10,,,,위양리,3171031030,3171031030
3171033000,울산광역시 울주군 청량면,,05,,,,청량면,3171033000,3171033000
3171033021,울산광역시 울주군 청량면 덕하리,,01,,,,덕하리,3171033021,3171033021
3171033022,울산광역시 울주군 청량면 동천리,,02,,,,동천리,3171033022,3171033022
3171033023,울산광역시 울주군 청량면 상남리,,03,,,,상남리,3171033023,3171033023
3171033024,울산광역시 울주군 청량면 개곡리,,04,,,,개곡리,3171033024,3171033024
3171033025,울산광역시 울주군 청량면 중리,,05,,,,중리,3171033025,3171033025
3171033026,울산광역시 울주군 청량면 문죽리,,06,,,,문죽리,3171033026,3171033026
3171033027,울산광역시 울주군 청량면 삼정리,,07,,,,삼정리,3171033027,3171033027
3171033028,울산광역시 울주군 청량면 율리,,08,,,,율리,3171033028,3171033028
3171033029,울산광역시 울주군 청량면 용암리,,09,,,,용암리,3171033029,3171033029
3171034000,울산광역시 울주군 웅촌면,,06,,,,웅촌면,3171034000,3171034000
3171034021,울산광역시 울주군 웅촌면 초천리,,01,,,,초천리,3171034021,3171034021
3171034022,울산광역시 울주군 웅촌면 석천리,,02,,,,석천리,3171034022,3171034022
3171034023,울산광역시 울주군 웅촌면 곡천리,,03,,,,곡천리,3171034023,3171034023
3171034024,울산광역시 울주군 웅촌면 검단리,,04,,,,검단리,3171034024,3171034024
3171034025,울산광역시 울주군 웅촌면 은현리,,05,,,,은현리,3171034025,3171034025
3171034026,울산광역시 울주군 웅촌면 고연리,,06,,,,고연리,3171034026,3171034026
3171034027,울산광역시 울주군 웅촌면 대대리,,07,,,,대대리,3171034027,3171034027
3171034028,울산광역시 울주군 웅촌면 통천리,,08,,,,통천리,3171034028,3171034028
3171034029,울산광역시 울주군 웅촌면 대복리,,09,,,,대복리,3171034029,3171034029
3171036000,울산광역시 울주군 두동면,,08,,,,두동면,3171036000,3171036000
3171036021,울산광역시 울주군 두동면 만화리,,01,,,,만화리,3171036021,3171036021
3171036022,울산광역시 울주군 두동면 구미리,,02,,,,구미리,3171036022,3171036022
3171036023,울산광역시 울주군 두동면 월평리,,03,,,,월평리,3171036023,3171036023
3171036024,울산광역시 울주군 두동면 삼정리,,04,,,,삼정리,3171036024,3171036024
3171036025,울산광역시 울주군 두동면 이전리,,05,,,,이전리,3171036025,3171036025
3171036026,울산광역시 울주군 두동면 봉계리,,06,,,,봉계리,3171036026,3171036026
3171036027,울산광역시 울주군 두동면 천전리,,07,,,,천전리,3171036027,3171036027
3171036028,울산광역시 울주군 두동면 은편리,,08,,,,은편리,3171036028,3171036028
3171037000,울산광역시 울주군 두서면,,09,,,,두서면,3171037000,3171037000
3171037021,울산광역시 울주군 두서면 차리,,01,,,,차리,3171037021,3171037021
3171037022,울산광역시 울주군 두서면 구량리,,02,,,,구량리,3171037022,3171037022
3171037023,울산광역시 울주군 두서면 복안리,,03,,,,복안리,3171037023,3171037023
3171037024,울산광역시 울주군 두서면 미호리,,04,,,,미호리,3171037024,3171037024
3171037025,울산광역시 울주군 두서면 활천리,,05,,,,활천리,3171037025,3171037025
3171037026,울산광역시 울주군 두서면 내와리,,06,,,,내와리,3171037026,3171037026
3171037027,울산광역시 울주군 두서면 전읍리,,07,,,,전읍리,3171037027,3171037027
3171037028,울산광역시 울주군 두서면 인보리,,08,,,,인보리,3171037028,3171037028
3171037029,울산광역시 울주군 두서면 서하리,,09,,,,서하리,3171037029,3171037029
3171038000,울산광역시 울주군 상북면,,10,,,,상북면,3171038000,3171038000
3171038021,울산광역시 울주군 상북면 지내리,,01,,,,지내리,3171038021,3171038021
3171038022,울산광역시 울주군 상북면 양등리,,02,,,,양등리,3171038022,3171038022
3171038023,울산광역시 울주군 상북면 산전리,,03,,,,산전리,3171038023,3171038023
3171038024,울산광역시 울주군 상북면 길천리,,04,,,,길천리,3171038024,3171038024
3171038025,울산광역시 울주군 상북면 이천리,,05,,,,이천리,3171038025,3171038025
3171038026,울산광역시 울주군 상북면 덕현리,,06,,,,덕현리,3171038026,3171038026
3171038027,울산광역시 울주군 상북면 명촌리,,07,,,,명촌리,3171038027,3171038027
3171038028,울산광역시 울주군 상북면 천전리,,08,,,,천전리,3171038028,3171038028
3171038029,울산광역시 울주군 상북면 거리,,09,,,,거리,3171038029,3171038029
3171038030,울산광역시 울주군 상북면 궁근정리,,10,,,,궁근정리,3171038030,3171038030
3171038032,울산광역시 울주군 상북면 향산리,,12,,,,향산리,3171038032,3171038032
3171038033,울산광역시 울주군 상북면 소호리,,13,,,,소호리,3171038033,3171038033
3171038034,울산광역시 울주군 상북면 등억알프스리,,14,20150514,,,등억알프스리,3171038034,3171038034
3171039000,울산광역시 울주군 삼남면,,11,,,,삼남면,3171039000,3171039000
3171039021,울산광역시 울주군 삼남면 교동리,,01,,,,교동리,3171039021,3171039021
3171039022,울산광역시 울주군 삼남면 상천리,,02,,,,상천리,3171039022,3171039022
3171039023,울산광역시 울주군 삼남면 신화리,,03,,,,신화리,3171039023,3171039023
3171039024,울산광역시 울주군 삼남면 방기리,,04,,,,방기리,3171039024,3171039024
3171039025,울산광역시 울주군 삼남면 가천리,,05,,,,가천리,3171039025,3171039025
3171040000,울산광역시 울주군 삼동면,,12,,,,삼동면,3171040000,3171040000
3171040021,울산광역시 울주군 삼동면 둔기리,,01,,,,둔기리,3171040021,3171040021
3171040022,울산광역시 울주군 삼동면 조일리,,02,,,,조일리,3171040022,3171040022
3171040023,울산광역시 울주군 삼동면 출강리,,03,,,,출강리,3171040023,3171040023
3171040024,울산광역시 울주군 삼동면 작동리,,04,,,,작동리,3171040024,3171040024
3171040025,울산광역시 울주군 삼동면 보은리,,05,,,,보은리,3171040025,3171040025
3171040026,울산광역시 울주군 삼동면 하잠리,,06,,,,하잠리,3171040026,3171040026
3171040027,울산광역시 울주군 삼동면 금곡리,,07,,,,금곡리,3171040027,3171040027
