법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
2800000000,인천광역시,,04,,,,인천광역시,2800000000,2800000000
2811000000,인천광역시 중구,,01,,,,중구,2811000000,2811000000
2811010100,인천광역시 중구 중앙동1가,,01,,,,중앙동1가,2811010100,2811010100
2811010200,인천광역시 중구 중앙동2가,,02,,,,중앙동2가,2811010200,2811010200
2811010300,인천광역시 중구 중앙동3가,,03,,,,중앙동3가,2811010300,2811010300
2811010400,인천광역시 중구 중앙동4가,,04,,,,중앙동4가,2811010400,2811010400
2811010500,인천광역시 중구 해안동1가,,05,,,,해안동1가,2811010500,2811010500
2811010600,인천광역시 중구 해안동2가,,06,,,,해안동2가,2811010600,2811010600
2811010700,인천광역시 중구 해안동3가,,07,,,,해안동3가,2811010700,2811010700
2811010800,인천광역시 중구 해안동4가,,08,,,,해안동4가,2811010800,2811010800
2811010900,인천광역시 중구 관동1가,,09,,,,관동1가,2811010900,2811010900
2811011000,인천광역시 중구 관동2가,,10,,,,관동2가,2811011000,2811011000
2811011100,인천광역시 중구 관동3가,,11,,,,관동3가,2811011100,2811011100
2811011200,인천광역시 중구 항동1가,,12,,,,항동1가,2811011200,2811011200
2811011300,인천광역시 중구 항동2가,,13,,,,항동2가,2811011300,2811011300
2811011400,인천광역시 중구 항동3가,,14,,,,항동3가,2811011400,2811011400
2811011500,인천광역시 중구 항동4가,,15,,,,항동4가,2811011500,2811011500
2811011600,인천광역시 중구 항동5가,,16,,,,항동5가,2811011600,2811011600
2811011700,인천광역시 중구 항동6가,,17,,,,항동6가,2811011700,2811011700
2811011800,인천광역시 중구 항동7가,,18,,,,항동7가,2811011800,2811011800
2811011900,인천광역시 중구 송학동1가,,19,,,,송학동1가,2811011900,2811011900
2811012000,인천광역시 중구 송학동2가,,20,,,,송학동2가,2811012000,2811012000
2811012100,인천광역시 중구 송학동3가,,21,,,,송학동3가,2811012100,2811012100
2811012200,인천광역시 중구 사동,,22,,,,사동,2811012200,2811012200
2811012300,인천광역시 중구 신생동,,23,,,,신생동,2811012300,2811012300
2811012400,인천광역시 중구 신포동,,24,,,,신포동,2811012400,2811012400
2811012500,인천광역시 중구 답동,,25,,,,답동,2811012500,2811012500
2811012600,인천광역시 중구 신흥동1가,,26,,,,신흥동1가,2811012600,2811012600
2811012700,인천광역시 중구 신흥동2가,,27,,,,신흥동2가,2811012700,2811012700
2811012800,인천광역시 중구 신흥동3가,,28,,,,신흥동3가,2811012800,2811012800
2811012900,인천광역시 중구 선화동,,29,,,,선화동,2811012900,2811012900
2811013000,인천광역시 중구 유동,,30,,,,유동,2811013000,2811013000
2811013100,인천광역시 중구 율목동,,31,,,,율목동,2811013100,2811013100
