법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4400000000,충청남도,,11,,,,충청남도,4400000000,4400000000
4413000000,충청남도 천안시,,01,,,,천안시,4413000000,4413000000
4413100000,충청남도 천안시 동남구,,01,20080623,,,천안시 동남구,4413100000,4413100000
4413110100,충청남도 천안시 동남구 대흥동,,01,20080623,,,대흥동,4413110100,4413110100
4413110200,충청남도 천안시 동남구 성황동,,02,20080623,,,성황동,4413110200,4413110200
4413110300,충청남도 천안시 동남구 문화동,,03,20080623,,,문화동,4413110300,4413110300
4413110400,충청남도 천안시 동남구 사직동,,04,20080623,,,사직동,4413110400,4413110400
4413110500,충청남도 천안시 동남구 영성동,,05,20080623,,,영성동,4413110500,4413110500
4413110600,충청남도 천안시 동남구 오룡동,,06,20080623,,,오룡동,4413110600,4413110600
4413110700,충청남도 천안시 동남구 원성동,,07,20080623,,,원성동,4413110700,4413110700
4413110800,충청남도 천안시 동남구 구성동,,08,20080623,,,구성동,4413110800,4413110800
4413110900,충청남도 천안시 동남구 청수동,,09,20080623,,,청수동,4413110900,4413110900
4413111000,충청남도 천안시 동남구 삼룡동,,10,20080623,,,삼룡동,4413111000,4413111000
4413111100,충청남도 천안시 동남구 청당동,,11,20080623,,,청당동,4413111100,4413111100
4413111200,충청남도 천안시 동남구 유량동,,12,20080623,,,유량동,4413111200,4413111200
4413111300,충청남도 천안시 동남구 봉명동,,13,20080623,,,봉명동,4413111300,4413111300
4413111400,충청남도 천안시 동남구 다가동,,14,20080623,,,다가동,4413111400,4413111400
4413111500,충청남도 천안시 동남구 용곡동,,15,20080623,,,용곡동,4413111500,4413111500
4413111600,충청남도 천안시 동남구 신방동,,16,20080623,,,신방동,4413111600,4413111600
4413111700,충청남도 천안시 동남구 쌍용동,,17,20080623,,,쌍용동,4413111700,4413111700
4413111800,충청남도 천안시 동남구 신부동,,18,20080623,,,신부동,4413111800,4413111800
4413111900,충청남도 천안시 동남구 안서동,,19,20080623,,,안서동,4413111900,4413111900
4413112000,충청남도 천안시 동남구 구룡동,,20,20080623,,,구룡동,4413112000,4413112000
4413125000,충청남도 천안시 동남구 목천읍,,21,20080623,,,목천읍,4413125000,4413125000
4413125021,충청남도 천안시 동남구 목천읍 서리,,01,20080623,,,서리,4413125021,4413125021
4413125022,충청남도 천안시 동남구 목천읍 동리,,02,20080623,,,동리,4413125022,4413125022
4413125023,충청남도 천안시 동남구 목천읍 교촌리,,03,20080623,,,교촌리,4413125023,4413125023
4413125024,충청남도 천안시 동남구 목천읍 서흥리,,04,20080623,,,서흥리,4413125024,4413125024
4413125025,충청남도 천안시 동남구 목천읍 덕전리,,05,20080623,,,덕전리,4413125025,4413125025
4413125026,충청남도 천안시 동남구 목천읍 송전리,,06,20080623,,,송전리,4413125026,4413125026
4413125027,충청남도 천안시 동남구 목천읍 석천리,,07,20080623,,,석천리,4413125027,4413125027
4413125028,충청남도 천안시 동남구 목천읍 동평리,,08,20080623,,,동평리,4413125028,4413125028
4413125029,충청남도 천안시 동남구 목천읍 운전리,,09,20080623,,,운전리,4413125029,4413125029
