법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4200000000,강원도,,09,,,,강원도,4200000000,4200000000
4211000000,강원도 춘천시,,01,,,,춘천시,4211000000,4211000000
4211010100,강원도 춘천시 봉의동,,01,,,,봉의동,4211010100,4211010100
4211010200,강원도 춘천시 요선동,,02,,,,요선동,4211010200,4211010200
4211010300,강원도 춘천시 낙원동,,03,,,,낙원동,4211010300,4211010300
4211010400,강원도 춘천시 중앙로1가,,04,,,,중앙로1가,4211010400,4211010400
4211010500,강원도 춘천시 중앙로2가,,05,,,,중앙로2가,4211010500,4211010500
4211010600,강원도 춘천시 중앙로3가,,06,,,,중앙로3가,4211010600,4211010600
4211010700,강원도 춘천시 옥천동,,07,,,,옥천동,4211010700,4211010700
4211010800,강원도 춘천시 조양동,,08,,,,조양동,4211010800,4211010800
4211010900,강원도 춘천시 죽림동,4211000000,09,,,,죽림동,4211010900,4211010900
4211011000,강원도 춘천시 운교동,,10,,,,운교동,4211011000,4211011000
4211011100,강원도 춘천시 약사동,,11,,,,약사동,4211011100,4211011100
4211011200,강원도 춘천시 효자동,,12,,,,효자동,4211011200,4211011200
4211011300,강원도 춘천시 소양로1가,,13,,,,소양로1가,4211011300,4211011300
4211011400,강원도 춘천시 소양로2가,,14,,,,소양로2가,4211011400,4211011400
4211011500,강원도 춘천시 소양로3가,,15,,,,소양로3가,4211011500,4211011500
4211011600,강원도 춘천시 소양로4가,,16,,,,소양로4가,4211011600,4211011600
4211011700,강원도 춘천시 근화동,,17,,,,근화동,4211011700,4211011700
4211011800,강원도 춘천시 우두동,,18,,,,우두동,4211011800,4211011800
4211011900,강원도 춘천시 사농동,,19,,,,사농동,4211011900,4211011900
4211012000,강원도 춘천시 후평동,,20,,,,후평동,4211012000,4211012000
4211012100,강원도 춘천시 온의동,,21,,,,온의동,4211012100,4211012100
4211012200,강원도 춘천시 교동,,22,,,,교동,4211012200,4211012200
4211012300,강원도 춘천시 퇴계동,,23,,,,퇴계동,4211012300,4211012300
4211012400,강원도 춘천시 석사동,,24,,,,석사동,4211012400,4211012400
4211012500,강원도 춘천시 삼천동,,25,,,,삼천동,4211012500,4211012500
4211012600,강원도 춘천시 칠전동,,26,,,,칠전동,4211012600,4211012600
4211012700,강원도 춘천시 송암동,,27,,,,송암동,4211012700,4211012700
4211012800,강원도 춘천시 신동,,28,,,,신동,4211012800,4211012800
4211012900,강원도 춘천시 중도동,,29,,,,중도동,4211012900,4211012900
4211025000,강원도 춘천시 신북읍,,30,,,,신북읍,4211025000,4211025000
