법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4100000000,경기도,,08,,,,경기도,4100000000,4100000000
4111000000,경기도 수원시,,01,,,,수원시,4111000000,4111000000
4111100000,경기도 수원시 장안구,4100000000,02,,,,수원시 장안구,4111100000,4111100000
4111112900,경기도 수원시 장안구 파장동,4111100000,01,,,,파장동,4111112900,4111112900
4111113000,경기도 수원시 장안구 정자동,4111100000,01,,,,정자동,4111113000,4111113000
4111113100,경기도 수원시 장안구 이목동,4111100000,01,20031124,,,이목동,4111113100,4111113100
4111113200,경기도 수원시 장안구 율전동,4111100000,01,20031124,,,율전동,4111113200,4111113200
4111113300,경기도 수원시 장안구 천천동,4111100000,01,,,,천천동,4111113300,4111113300
4111113400,경기도 수원시 장안구 영화동,4111100000,01,20031124,,,영화동,4111113400,4111113400
4111113500,경기도 수원시 장안구 송죽동,4111100000,01,20031124,,,송죽동,4111113500,4111113500
4111113600,경기도 수원시 장안구 조원동,4111100000,01,20031124,,,조원동,4111113600,4111113600
4111113700,경기도 수원시 장안구 연무동,4111100000,01,20031124,,,연무동,4111113700,4111113700
4111113800,경기도 수원시 장안구 상광교동,4111100000,01,,,,상광교동,4111113800,4111113800
4111113900,경기도 수원시 장안구 하광교동,4111100000,01,20031124,,,하광교동,4111113900,4111113900
4111300000,경기도 수원시 권선구,,03,,,,수원시 권선구,4111300000,4111300000
4111312600,경기도 수원시 권선구 세류동,4111300000,01,20031124,,,세류동,4111312600,4111312600
4111312700,경기도 수원시 권선구 평동,4111300000,01,20031124,,,평동,4111312700,4111312700
4111312800,경기도 수원시 권선구 고색동,4111300000,01,20031124,,,고색동,4111312800,4111312800
4111312900,경기도 수원시 권선구 오목천동,4111300000,01,20031124,,,오목천동,4111312900,4111312900
4111313000,경기도 수원시 권선구 평리동,4111300000,01,20031124,,,평리동,4111313000,4111313000
4111313100,경기도 수원시 권선구 서둔동,4111300000,01,20031124,,,서둔동,4111313100,4111313100
4111313200,경기도 수원시 권선구 구운동,4111300000,01,20031124,,,구운동,4111313200,4111313200
4111313300,경기도 수원시 권선구 탑동,4111300000,01,20031124,,,탑동,4111313300,4111313300
4111313400,경기도 수원시 권선구 금곡동,4111300000,01,20031124,,,금곡동,4111313400,4111313400
4111313500,경기도 수원시 권선구 호매실동,4111300000,01,20031124,,,호매실동,4111313500,4111313500
4111313600,경기도 수원시 권선구 곡반정동,4111300000,01,20031124,,,곡반정동,4111313600,4111313600
4111313700,경기도 수원시 권선구 권선동,4111300000,01,20031124,,,권선동,4111313700,4111313700
4111313800,경기도 수원시 권선구 장지동,4111300000,01,20031124,,,장지동,4111313800,4111313800
4111313900,경기도 수원시 권선구 대황교동,4111300000,01,20031124,,,대황교동,4111313900,4111313900
4111314000,경기도 수원시 권선구 입북동,4111300000,01,20031124,,,입북동,4111314000,4111314000
4111314100,경기도 수원시 권선구 당수동,4111300000,01,20031124,,,당수동,4111314100,4111314100
4111500000,경기도 수원시 팔달구,4100000000,04,,,,수원시 팔달구,4111500000,4111500000
4111512000,경기도 수원시 팔달구 팔달로1가,4111500000,01,20031124,,,팔달로1가,4111512000,4111512000
4111512100,경기도 수원시 팔달구 팔달로2가,4111500000,01,20031124,,,팔달로2가,4111512100,4111512100
4111512200,경기도 수원시 팔달구 팔달로3가,4111500000,01,20031124,,,팔달로3가,4111512200,4111512200
4111512300,경기도 수원시 팔달구 남창동,4111500000,01,20031124,,,남창동,4111512300,4111512300
4111512400,경기도 수원시 팔달구 영동,4111500000,01,20031124,,,영동,4111512400,4111512400
4111512500,경기도 수원시 팔달구 중동,4111500000,01,20031124,,,중동,4111512500,4111512500
4111512600,경기도 수원시 팔달구 구천동,4111500000,01,20031124,,,구천동,4111512600,4111512600
4111512700,경기도 수원시 팔달구 남수동,4111500000,01,20031124,,,남수동,4111512700,4111512700
4111512800,경기도 수원시 팔달구 매향동,4111500000,01,20031124,,,매향동,4111512800,4111512800
4111512900,경기도 수원시 팔달구 북수동,4111500000,01,20031124,,,북수동,4111512900,4111512900
4111513000,경기도 수원시 팔달구 신풍동,4111500000,01,20031124,,,신풍동,4111513000,4111513000
4111513100,경기도 수원시 팔달구 장안동,4111500000,01,20031124,,,장안동,4111513100,4111513100
4111513200,경기도 수원시 팔달구 교동,4111500000,01,20031124,,,교동,4111513200,4111513200
4111513300,경기도 수원시 팔달구 매교동,4111500000,01,20031124,,,매교동,4111513300,4111513300
4111513400,경기도 수원시 팔달구 매산로1가,4111500000,01,20031124,,,매산로1가,4111513400,4111513400
4111513500,경기도 수원시 팔달구 매산로2가,4111500000,01,20031124,,,매산로2가,4111513500,4111513500
4111513600,경기도 수원시 팔달구 매산로3가,4111500000,01,20031124,,,매산로3가,4111513600,4111513600
4111513700,경기도 수원시 팔달구 고등동,4111500000,01,20031124,,,고등동,4111513700,4111513700
4111513800,경기도 수원시 팔달구 화서동,4111500000,01,20031124,,,화서동,4111513800,4111513800
4111513900,경기도 수원시 팔달구 지동,4111500000,01,20031124,,,지동,4111513900,4111513900
4111514000,경기도 수원시 팔달구 우만동,4111500000,01,20031124,,,우만동,4111514000,4111514000
4111514100,경기도 수원시 팔달구 인계동,4111500000,01,20031124,,,인계동,4111514100,4111514100
4111700000,경기도 수원시 영통구,4100000000,05,20031124,,,수원시 영통구,4111700000,4111700000
4111710100,경기도 수원시 영통구 매탄동,4111700000,01,,,,매탄동,4111710100,4111710100
4111710200,경기도 수원시 영통구 원천동,4111700000,01,20031124,,,원천동,4111710200,4111710200
4111710300,경기도 수원시 영통구 이의동,4111700000,01,20031124,,,이의동,4111710300,4111710300
4111710400,경기도 수원시 영통구 하동,4111700000,01,20031124,,,하동,4111710400,4111710400
4111710500,경기도 수원시 영통구 영통동,4111700000,01,20031124,,,영통동,4111710500,4111710500
4111710600,경기도 수원시 영통구 신동,4111700000,01,20031124,,,신동,4111710600,4111710600
