법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4700000000,경상북도,,14,,,,경상북도,4700000000,4700000000
4711000000,경상북도 포항시,,01,,,,포항시,4711000000,4711000000
4711100000,경상북도 포항시 남구,,02,,,,포항시 남구,4711100000,4711100000
4711110100,경상북도 포항시 남구 상도동,,01,,,,상도동,4711110100,4711110100
4711110200,경상북도 포항시 남구 대도동,,02,,,,대도동,4711110200,4711110200
4711110300,경상북도 포항시 남구 해도동,,03,,,,해도동,4711110300,4711110300
4711110400,경상북도 포항시 남구 송도동,,04,,,,송도동,4711110400,4711110400
4711110500,경상북도 포항시 남구 청림동,,05,,,,청림동,4711110500,4711110500
4711110600,경상북도 포항시 남구 일월동,,06,,,,일월동,4711110600,4711110600
4711110700,경상북도 포항시 남구 송정동,,07,,,,송정동,4711110700,4711110700
4711110800,경상북도 포항시 남구 송내동,,08,,,,송내동,4711110800,4711110800
4711110900,경상북도 포항시 남구 괴동동,,09,,,,괴동동,4711110900,4711110900
4711111000,경상북도 포항시 남구 동촌동,,10,,,,동촌동,4711111000,4711111000
4711111100,경상북도 포항시 남구 장흥동,,11,,,,장흥동,4711111100,4711111100
4711111200,경상북도 포항시 남구 인덕동,,12,,,,인덕동,4711111200,4711111200
4711111300,경상북도 포항시 남구 호동,,13,,,,호동,4711111300,4711111300
4711111400,경상북도 포항시 남구 효자동,,14,,,,효자동,4711111400,4711111400
4711111500,경상북도 포항시 남구 지곡동,,15,,,,지곡동,4711111500,4711111500
4711111600,경상북도 포항시 남구 대잠동,,16,,,,대잠동,4711111600,4711111600
4711111700,경상북도 포항시 남구 이동,,17,,,,이동,4711111700,4711111700
4711125000,경상북도 포항시 남구 구룡포읍,,18,,,,구룡포읍,4711125000,4711125000
4711125021,경상북도 포항시 남구 구룡포읍 구룡포리,,01,,,,구룡포리,4711125021,4711125021
4711125022,경상북도 포항시 남구 구룡포읍 삼정리,,02,,,,삼정리,4711125022,4711125022
4711125023,경상북도 포항시 남구 구룡포읍 석병리,,03,,,,석병리,4711125023,4711125023
4711125024,경상북도 포항시 남구 구룡포읍 성동리,,04,,,,성동리,4711125024,4711125024
4711125025,경상북도 포항시 남구 구룡포읍 구평리,,05,,,,구평리,4711125025,4711125025
4711125026,경상북도 포항시 남구 구룡포읍 장길리,,06,,,,장길리,4711125026,4711125026
4711125027,경상북도 포항시 남구 구룡포읍 하정리,,07,,,,하정리,4711125027,4711125027
4711125028,경상북도 포항시 남구 구룡포읍 병포리,,08,,,,병포리,4711125028,4711125028
4711125029,경상북도 포항시 남구 구룡포읍 후동리,,09,,,,후동리,4711125029,4711125029
4711125030,경상북도 포항시 남구 구룡포읍 눌태리,,10,,,,눌태리,4711125030,4711125030
4711125300,경상북도 포항시 남구 연일읍,,19,,,,연일읍,4711125300,4711125300
4711125321,경상북도 포항시 남구 연일읍 생지리,,01,,,,생지리,4711125321,4711125321
4711125322,경상북도 포항시 남구 연일읍 괴정리,,02,,,,괴정리,4711125322,4711125322
4711125323,경상북도 포항시 남구 연일읍 동문리,,03,,,,동문리,4711125323,4711125323
4711125324,경상북도 포항시 남구 연일읍 오천리,,04,,,,오천리,4711125324,4711125324
4711125325,경상북도 포항시 남구 연일읍 유강리,,05,,,,유강리,4711125325,4711125325
4711125326,경상북도 포항시 남구 연일읍 자명리,,06,,,,자명리,4711125326,4711125326
4711125327,경상북도 포항시 남구 연일읍 학전리,,07,,,,학전리,4711125327,4711125327
4711125328,경상북도 포항시 남구 연일읍 달전리,,08,,,,달전리,4711125328,4711125328
4711125329,경상북도 포항시 남구 연일읍 중명리,,09,,,,중명리,4711125329,4711125329
4711125330,경상북도 포항시 남구 연일읍 중단리,,10,,,,중단리,4711125330,4711125330
4711125331,경상북도 포항시 남구 연일읍 택전리,,11,,,,택전리,4711125331,4711125331
4711125332,경상북도 포항시 남구 연일읍 인주리,,12,,,,인주리,4711125332,4711125332
4711125333,경상북도 포항시 남구 연일읍 우복리,,13,,,,우복리,4711125333,4711125333
4711125600,경상북도 포항시 남구 오천읍,,20,,,,오천읍,4711125600,4711125600
4711125621,경상북도 포항시 남구 오천읍 원리,,01,,,,원리,4711125621,4711125621
4711125622,경상북도 포항시 남구 오천읍 문덕리,,02,,,,문덕리,4711125622,4711125622
4711125623,경상북도 포항시 남구 오천읍 항사리,,03,,,,항사리,4711125623,4711125623
4711125624,경상북도 포항시 남구 오천읍 진전리,,04,,,,진전리,4711125624,4711125624
4711125625,경상북도 포항시 남구 오천읍 갈평리,,05,,,,갈평리,4711125625,4711125625
4711125626,경상북도 포항시 남구 오천읍 문충리,,06,,,,문충리,4711125626,4711125626
4711125627,경상북도 포항시 남구 오천읍 용산리,,07,,,,용산리,4711125627,4711125627
4711125628,경상북도 포항시 남구 오천읍 광명리,,08,,,,광명리,4711125628,4711125628
4711125629,경상북도 포항시 남구 오천읍 세계리,,09,,,,세계리,4711125629,4711125629
4711125630,경상북도 포항시 남구 오천읍 용덕리,,10,,,,용덕리,4711125630,4711125630
4711125631,경상북도 포항시 남구 오천읍 구정리,,11,,,,구정리,4711125631,4711125631
4711131000,경상북도 포항시 남구 대송면,,21,,,,대송면,4711131000,4711131000
4711131021,경상북도 포항시 남구 대송면 공수리,,01,,,,공수리,4711131021,4711131021
4711131022,경상북도 포항시 남구 대송면 장동리,,02,,,,장동리,4711131022,4711131022
4711131023,경상북도 포항시 남구 대송면 홍계리,,03,,,,홍계리,4711131023,4711131023
4711131024,경상북도 포항시 남구 대송면 산여리,,04,,,,산여리,4711131024,4711131024
4711131025,경상북도 포항시 남구 대송면 대각리,,05,,,,대각리,4711131025,4711131025
4711131026,경상북도 포항시 남구 대송면 송동리,,06,,,,송동리,4711131026,4711131026
4711131027,경상북도 포항시 남구 대송면 제내리,,07,,,,제내리,4711131027,4711131027
4711131028,경상북도 포항시 남구 대송면 옥명리,,08,,,,옥명리,4711131028,4711131028
4711131029,경상북도 포항시 남구 대송면 남성리,,09,,,,남성리,4711131029,4711131029
4711132000,경상북도 포항시 남구 동해면,,22,,,,동해면,4711132000,4711132000
4711132021,경상북도 포항시 남구 동해면 도구리,,01,,,,도구리,4711132021,4711132021
4711132022,경상북도 포항시 남구 동해면 약전리,,02,,,,약전리,4711132022,4711132022
4711132023,경상북도 포항시 남구 동해면 금광리,,03,,,,금광리,4711132023,4711132023
