법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
2900000000,광주광역시,,05,,,,광주광역시,2900000000,2900000000
2911000000,광주광역시 동구,,01,,,,동구,2911000000,2911000000
2911010100,광주광역시 동구 대인동,,01,,,,대인동,2911010100,2911010100
2911010200,광주광역시 동구 금남로5가,,02,,,,금남로5가,2911010200,2911010200
2911010300,광주광역시 동구 충장로5가,,03,,,,충장로5가,2911010300,2911010300
2911010400,광주광역시 동구 수기동,,04,,,,수기동,2911010400,2911010400
2911010500,광주광역시 동구 대의동,,05,,,,대의동,2911010500,2911010500
2911010600,광주광역시 동구 궁동,,06,,,,궁동,2911010600,2911010600
2911010700,광주광역시 동구 장동,,07,,,,장동,2911010700,2911010700
2911010800,광주광역시 동구 동명동,,08,,,,동명동,2911010800,2911010800
2911010900,광주광역시 동구 계림동,,09,,,,계림동,2911010900,2911010900
2911011000,광주광역시 동구 산수동,,10,,,,산수동,2911011000,2911011000
2911011100,광주광역시 동구 지산동,,11,,,,지산동,2911011100,2911011100
2911011200,광주광역시 동구 남동,,12,,,,남동,2911011200,2911011200
2911011300,광주광역시 동구 광산동,,13,,,,광산동,2911011300,2911011300
2911011400,광주광역시 동구 금동,,14,,,,금동,2911011400,2911011400
2911011500,광주광역시 동구 호남동,,15,,,,호남동,2911011500,2911011500
2911011600,광주광역시 동구 불로동,,16,,,,불로동,2911011600,2911011600
2911011700,광주광역시 동구 황금동,,17,,,,황금동,2911011700,2911011700
2911011800,광주광역시 동구 서석동,,18,,,,서석동,2911011800,2911011800
2911011900,광주광역시 동구 소태동,,19,,,,소태동,2911011900,2911011900
2911012000,광주광역시 동구 용연동,,20,,,,용연동,2911012000,2911012000
2911012100,광주광역시 동구 운림동,,21,,,,운림동,2911012100,2911012100
2911012200,광주광역시 동구 학동,,22,,,,학동,2911012200,2911012200
2911012300,광주광역시 동구 월남동,,23,,,,월남동,2911012300,2911012300
2911012400,광주광역시 동구 선교동,,24,,,,선교동,2911012400,2911012400
2911012500,광주광역시 동구 내남동,,25,,,,내남동,2911012500,2911012500
2911012600,광주광역시 동구 용산동,,26,,,,용산동,2911012600,2911012600
2911012700,광주광역시 동구 충장로1가,,27,,,,충장로1가,2911012700,2911012700
2911012800,광주광역시 동구 충장로2가,,28,,,,충장로2가,2911012800,2911012800
2911012900,광주광역시 동구 충장로3가,,29,,,,충장로3가,2911012900,2911012900
2911013000,광주광역시 동구 충장로4가,,30,,,,충장로4가,2911013000,2911013000
2911013100,광주광역시 동구 금남로1가,,31,,,,금남로1가,2911013100,2911013100
2911013200,광주광역시 동구 금남로2가,,32,,,,금남로2가,2911013200,2911013200
2911013300,광주광역시 동구 금남로3가,,33,,,,금남로3가,2911013300,2911013300
2911013400,광주광역시 동구 금남로4가,,34,,,,금남로4가,2911013400,2911013400
2914000000,광주광역시 서구,,02,,,,서구,2914000000,2914000000
2914010400,광주광역시 서구 양동,,01,,,,양동,2914010400,2914010400
2914010600,광주광역시 서구 농성동,,02,,,,농성동,2914010600,2914010600
2914011500,광주광역시 서구 광천동,,03,,,,광천동,2914011500,2914011500
2914011600,광주광역시 서구 유촌동,,04,,,,유촌동,2914011600,2914011600
2914011700,광주광역시 서구 덕흥동,,05,,,,덕흥동,2914011700,2914011700
2914011800,광주광역시 서구 쌍촌동,,06,,,,쌍촌동,2914011800,2914011800
2914011900,광주광역시 서구 화정동,,07,,,,화정동,2914011900,2914011900
2914012000,광주광역시 서구 치평동,,08,,,,치평동,2914012000,2914012000
2914012100,광주광역시 서구 내방동,,09,,,,내방동,2914012100,2914012100
2914012500,광주광역시 서구 서창동,,10,,,,서창동,2914012500,2914012500
2914012600,광주광역시 서구 세하동,,11,,,,세하동,2914012600,2914012600
2914012700,광주광역시 서구 용두동,,12,,,,용두동,2914012700,2914012700
2914012800,광주광역시 서구 풍암동,,13,,,,풍암동,2914012800,2914012800
2914012900,광주광역시 서구 벽진동,,14,,,,벽진동,2914012900,2914012900
2914013000,광주광역시 서구 금호동,,15,,,,금호동,2914013000,2914013000
2914013100,광주광역시 서구 마륵동,,16,,,,마륵동,2914013100,2914013100
2914013200,광주광역시 서구 매월동,,17,,,,매월동,2914013200,2914013200
2914013300,광주광역시 서구 동천동,,01,20111001,,,동천동,2914013300,2914013300
2915500000,광주광역시 남구,,03,,,,남구,2915500000,2915500000
2915510100,광주광역시 남구 사동,,01,,,,사동,2915510100,2915510100
2915510200,광주광역시 남구 구동,,02,,,,구동,2915510200,2915510200
2915510300,광주광역시 남구 서동,,03,,,,서동,2915510300,2915510300
2915510400,광주광역시 남구 월산동,,04,,,,월산동,2915510400,2915510400
2915510500,광주광역시 남구 백운동,,05,,,,백운동,2915510500,2915510500
2915510600,광주광역시 남구 주월동,,06,,,,주월동,2915510600,2915510600
2915510700,광주광역시 남구 노대동,,07,,,,노대동,2915510700,2915510700
