법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
2700000000,대구광역시,,03,,,,대구광역시,2700000000,2700000000
2711000000,대구광역시 중구,,01,,,,중구,2711000000,2711000000
2711010100,대구광역시 중구 동인동1가,,01,,,,동인동1가,2711010100,2711010100
2711010200,대구광역시 중구 동인동2가,,02,,,,동인동2가,2711010200,2711010200
2711010300,대구광역시 중구 동인동3가,,03,,,,동인동3가,2711010300,2711010300
2711010400,대구광역시 중구 동인동4가,,04,,,,동인동4가,2711010400,2711010400
2711010500,대구광역시 중구 삼덕동1가,,05,,,,삼덕동1가,2711010500,2711010500
2711010600,대구광역시 중구 삼덕동2가,,06,,,,삼덕동2가,2711010600,2711010600
2711010700,대구광역시 중구 삼덕동3가,,07,,,,삼덕동3가,2711010700,2711010700
2711010800,대구광역시 중구 봉산동,,08,,,,봉산동,2711010800,2711010800
2711010900,대구광역시 중구 장관동,,09,,,,장관동,2711010900,2711010900
2711011000,대구광역시 중구 상서동,,10,,,,상서동,2711011000,2711011000
2711011100,대구광역시 중구 수동,,11,,,,수동,2711011100,2711011100
2711011200,대구광역시 중구 덕산동,,12,,,,덕산동,2711011200,2711011200
2711011300,대구광역시 중구 종로1가,,13,,,,종로1가,2711011300,2711011300
2711011400,대구광역시 중구 종로2가,,14,,,,종로2가,2711011400,2711011400
2711011500,대구광역시 중구 사일동,,15,,,,사일동,2711011500,2711011500
2711011600,대구광역시 중구 동일동,,16,,,,동일동,2711011600,2711011600
2711011700,대구광역시 중구 남일동,,17,,,,남일동,2711011700,2711011700
2711011800,대구광역시 중구 전동,,18,,,,전동,2711011800,2711011800
2711011900,대구광역시 중구 동성로3가,,19,,,,동성로3가,2711011900,2711011900
2711012000,대구광역시 중구 동문동,,20,,,,동문동,2711012000,2711012000
2711012100,대구광역시 중구 문화동,,21,,,,문화동,2711012100,2711012100
2711012200,대구광역시 중구 공평동,,22,,,,공평동,2711012200,2711012200
2711012300,대구광역시 중구 동성로2가,,23,,,,동성로2가,2711012300,2711012300
2711012400,대구광역시 중구 태평로1가,,24,,,,태평로1가,2711012400,2711012400
2711012500,대구광역시 중구 교동,,25,,,,교동,2711012500,2711012500
2711012600,대구광역시 중구 용덕동,,26,,,,용덕동,2711012600,2711012600
2711012700,대구광역시 중구 상덕동,,27,,,,상덕동,2711012700,2711012700
2711012800,대구광역시 중구 완전동,,28,,,,완전동,2711012800,2711012800
2711012900,대구광역시 중구 도원동,,29,,,,도원동,2711012900,2711012900
2711013000,대구광역시 중구 수창동,,30,,,,수창동,2711013000,2711013000
2711013100,대구광역시 중구 태평로3가,,31,,,,태평로3가,2711013100,2711013100
2711013200,대구광역시 중구 인교동,,32,,,,인교동,2711013200,2711013200
2711013300,대구광역시 중구 서야동,,33,,,,서야동,2711013300,2711013300
2711013400,대구광역시 중구 서성로1가,,34,,,,서성로1가,2711013400,2711013400
2711013500,대구광역시 중구 시장북로,,35,,,,시장북로,2711013500,2711013500
2711013600,대구광역시 중구 하서동,,36,,,,하서동,2711013600,2711013600
2711013700,대구광역시 중구 남성로,,37,,,,남성로,2711013700,2711013700
2711013800,대구광역시 중구 계산동1가,,38,,,,계산동1가,2711013800,2711013800
2711013900,대구광역시 중구 계산동2가,,39,,,,계산동2가,2711013900,2711013900
2711014000,대구광역시 중구 동산동,,40,,,,동산동,2711014000,2711014000
2711014100,대구광역시 중구 서문로2가,,41,,,,서문로2가,2711014100,2711014100
2711014200,대구광역시 중구 서성로2가,,42,,,,서성로2가,2711014200,2711014200
2711014300,대구광역시 중구 포정동,,43,,,,포정동,2711014300,2711014300
2711014400,대구광역시 중구 서문로1가,,44,,,,서문로1가,2711014400,2711014400
2711014500,대구광역시 중구 서내동,,45,,,,서내동,2711014500,2711014500
2711014600,대구광역시 중구 북성로2가,,46,,,,북성로2가,2711014600,2711014600
2711014700,대구광역시 중구 대안동,,47,,,,대안동,2711014700,2711014700
2711014800,대구광역시 중구 동성로1가,,48,,,,동성로1가,2711014800,2711014800
2711014900,대구광역시 중구 태평로2가,,49,,,,태평로2가,2711014900,2711014900
2711015000,대구광역시 중구 북성로1가,,50,,,,북성로1가,2711015000,2711015000
2711015100,대구광역시 중구 화전동,,51,,,,화전동,2711015100,2711015100
2711015200,대구광역시 중구 향촌동,,52,,,,향촌동,2711015200,2711015200
2711015300,대구광역시 중구 북내동,,53,,,,북내동,2711015300,2711015300
2711015400,대구광역시 중구 대신동,,54,,,,대신동,2711015400,2711015400
2711015500,대구광역시 중구 달성동,,55,,,,달성동,2711015500,2711015500
2711015600,대구광역시 중구 남산동,,56,,,,남산동,2711015600,2711015600
2711015700,대구광역시 중구 대봉동,,57,,,,대봉동,2711015700,2711015700
2714000000,대구광역시 동구,,02,,,,동구,2714000000,2714000000
2714010100,대구광역시 동구 신암동,,01,,,,신암동,2714010100,2714010100
2714010200,대구광역시 동구 신천동,,02,,,,신천동,2714010200,2714010200
2714010300,대구광역시 동구 효목동,,03,,,,효목동,2714010300,2714010300
2714010400,대구광역시 동구 평광동,,04,,,,평광동,2714010400,2714010400
2714010500,대구광역시 동구 봉무동,,05,,,,봉무동,2714010500,2714010500
2714010600,대구광역시 동구 불로동,,06,,,,불로동,2714010600,2714010600
2714010700,대구광역시 동구 도동,,07,,,,도동,2714010700,2714010700
2714010800,대구광역시 동구 지저동,,08,,,,지저동,2714010800,2714010800
2714010900,대구광역시 동구 입석동,,09,,,,입석동,2714010900,2714010900
2714011000,대구광역시 동구 검사동,,10,,,,검사동,2714011000,2714011000
2714011100,대구광역시 동구 방촌동,,11,,,,방촌동,2714011100,2714011100
2714011200,대구광역시 동구 둔산동,,12,,,,둔산동,2714011200,2714011200
2714011300,대구광역시 동구 부동,,13,,,,부동,2714011300,2714011300
2714011400,대구광역시 동구 신평동,,14,,,,신평동,2714011400,2714011400
2714011500,대구광역시 동구 서호동,,15,,,,서호동,2714011500,2714011500
2714011600,대구광역시 동구 동호동,,16,,,,동호동,2714011600,2714011600
2714011700,대구광역시 동구 신기동,,17,,,,신기동,2714011700,2714011700
2714011800,대구광역시 동구 율하동,,18,,,,율하동,2714011800,2714011800
2714011900,대구광역시 동구 용계동,,19,,,,용계동,2714011900,2714011900
2714012000,대구광역시 동구 율암동,,20,,,,율암동,2714012000,2714012000
2714012100,대구광역시 동구 상매동,,21,,,,상매동,2714012100,2714012100
2714012200,대구광역시 동구 매여동,,22,,,,매여동,2714012200,2714012200
2714012300,대구광역시 동구 각산동,,23,,,,각산동,2714012300,2714012300
2714012400,대구광역시 동구 신서동,,24,,,,신서동,2714012400,2714012400
2714012500,대구광역시 동구 동내동,,25,,,,동내동,2714012500,2714012500
2714012600,대구광역시 동구 괴전동,,26,,,,괴전동,2714012600,2714012600
2714012700,대구광역시 동구 금강동,,27,,,,금강동,2714012700,2714012700
2714012800,대구광역시 동구 대림동,,28,,,,대림동,2714012800,2714012800
2714012900,대구광역시 동구 사복동,,29,,,,사복동,2714012900,2714012900
2714013000,대구광역시 동구 숙천동,,30,,,,숙천동,2714013000,2714013000
