법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
3000000000,대전광역시,,06,,,,대전광역시,3000000000,3000000000
3011000000,대전광역시 동구,,01,,,,동구,3011000000,3011000000
3011010100,대전광역시 동구 원동,,01,,,,원동,3011010100,3011010100
3011010200,대전광역시 동구 인동,,02,,,,인동,3011010200,3011010200
3011010300,대전광역시 동구 효동,,03,,,,효동,3011010300,3011010300
3011010400,대전광역시 동구 천동,,04,,,,천동,3011010400,3011010400
3011010500,대전광역시 동구 가오동,,05,,,,가오동,3011010500,3011010500
3011010600,대전광역시 동구 신흥동,,06,,,,신흥동,3011010600,3011010600
3011010700,대전광역시 동구 판암동,,07,,,,판암동,3011010700,3011010700
3011010800,대전광역시 동구 삼정동,,08,,,,삼정동,3011010800,3011010800
3011010900,대전광역시 동구 용운동,,09,,,,용운동,3011010900,3011010900
3011011000,대전광역시 동구 대동,,10,,,,대동,3011011000,3011011000
3011011100,대전광역시 동구 자양동,,11,,,,자양동,3011011100,3011011100
3011011200,대전광역시 동구 신안동,,12,,,,신안동,3011011200,3011011200
3011011300,대전광역시 동구 소제동,,13,,,,소제동,3011011300,3011011300
3011011400,대전광역시 동구 가양동,,14,,,,가양동,3011011400,3011011400
3011011500,대전광역시 동구 용전동,,15,,,,용전동,3011011500,3011011500
3011011600,대전광역시 동구 성남동,,16,,,,성남동,3011011600,3011011600
3011011700,대전광역시 동구 홍도동,,17,,,,홍도동,3011011700,3011011700
3011011800,대전광역시 동구 삼성동,,18,,,,삼성동,3011011800,3011011800
3011011900,대전광역시 동구 정동,,19,,,,정동,3011011900,3011011900
3011012000,대전광역시 동구 중동,,20,,,,중동,3011012000,3011012000
3011012100,대전광역시 동구 추동,,21,,,,추동,3011012100,3011012100
3011012200,대전광역시 동구 비룡동,,22,,,,비룡동,3011012200,3011012200
3011012300,대전광역시 동구 주산동,,23,,,,주산동,3011012300,3011012300
3011012400,대전광역시 동구 용계동,,24,,,,용계동,3011012400,3011012400
3011012500,대전광역시 동구 마산동,,25,,,,마산동,3011012500,3011012500
3011012600,대전광역시 동구 효평동,,26,,,,효평동,3011012600,3011012600
3011012700,대전광역시 동구 직동,,27,,,,직동,3011012700,3011012700
3011012800,대전광역시 동구 세천동,,28,,,,세천동,3011012800,3011012800
3011012900,대전광역시 동구 신상동,,29,,,,신상동,3011012900,3011012900
3011013000,대전광역시 동구 신하동,,30,,,,신하동,3011013000,3011013000
3011013100,대전광역시 동구 신촌동,,31,,,,신촌동,3011013100,3011013100
3011013200,대전광역시 동구 사성동,,32,,,,사성동,3011013200,3011013200
3011013300,대전광역시 동구 내탑동,,33,,,,내탑동,3011013300,3011013300
3011013400,대전광역시 동구 오동,,34,,,,오동,3011013400,3011013400
3011013500,대전광역시 동구 주촌동,,35,,,,주촌동,3011013500,3011013500
3011013600,대전광역시 동구 낭월동,,36,,,,낭월동,3011013600,3011013600
3011013700,대전광역시 동구 대별동,,37,,,,대별동,3011013700,3011013700
3011013800,대전광역시 동구 이사동,,38,,,,이사동,3011013800,3011013800
3011013900,대전광역시 동구 대성동,,39,,,,대성동,3011013900,3011013900
3011014000,대전광역시 동구 장척동,,40,,,,장척동,3011014000,3011014000
3011014100,대전광역시 동구 소호동,,41,,,,소호동,3011014100,3011014100
3011014200,대전광역시 동구 구도동,,42,,,,구도동,3011014200,3011014200
3011014300,대전광역시 동구 삼괴동,,43,,,,삼괴동,3011014300,3011014300
3011014400,대전광역시 동구 상소동,,44,,,,상소동,3011014400,3011014400
3011014500,대전광역시 동구 하소동,,45,,,,하소동,3011014500,3011014500
3014000000,대전광역시 중구,,02,,,,중구,3014000000,3014000000
3014010100,대전광역시 중구 은행동,,01,,,,은행동,3014010100,3014010100
3014010200,대전광역시 중구 선화동,,02,,,,선화동,3014010200,3014010200
3014010300,대전광역시 중구 목동,,03,,,,목동,3014010300,3014010300
3014010400,대전광역시 중구 중촌동,,04,,,,중촌동,3014010400,3014010400
3014010500,대전광역시 중구 대흥동,,05,,,,대흥동,3014010500,3014010500
3014010600,대전광역시 중구 문창동,,06,,,,문창동,3014010600,3014010600
3014010700,대전광역시 중구 석교동,,07,,,,석교동,3014010700,3014010700
3014010800,대전광역시 중구 호동,,08,,,,호동,3014010800,3014010800
3014010900,대전광역시 중구 옥계동,,09,,,,옥계동,3014010900,3014010900
3014011000,대전광역시 중구 대사동,,10,,,,대사동,3014011000,3014011000
3014011100,대전광역시 중구 부사동,,11,,,,부사동,3014011100,3014011100
3014011200,대전광역시 중구 용두동,,12,,,,용두동,3014011200,3014011200
3014011300,대전광역시 중구 오류동,,13,,,,오류동,3014011300,3014011300
3014011400,대전광역시 중구 태평동,,14,,,,태평동,3014011400,3014011400
3014011500,대전광역시 중구 유천동,,15,,,,유천동,3014011500,3014011500
3014011600,대전광역시 중구 문화동,,16,,,,문화동,3014011600,3014011600
3014011700,대전광역시 중구 산성동,,17,,,,산성동,3014011700,3014011700
3014011800,대전광역시 중구 사정동,,18,,,,사정동,3014011800,3014011800
3014011900,대전광역시 중구 안영동,,19,,,,안영동,3014011900,3014011900
3014012000,대전광역시 중구 무수동,,20,,,,무수동,3014012000,3014012000
3014012100,대전광역시 중구 구완동,,21,,,,구완동,3014012100,3014012100
3014012200,대전광역시 중구 침산동,,22,,,,침산동,3014012200,3014012200
