법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
2600000000,부산광역시,,02,,,,부산광역시,2600000000,2600000000
2611000000,부산광역시 중구,,01,,,,중구,2611000000,2611000000
2611010100,부산광역시 중구 영주동,,01,,,,영주동,2611010100,2611010100
2611010200,부산광역시 중구 대창동1가,,02,,,,대창동1가,2611010200,2611010200
2611010300,부산광역시 중구 대창동2가,,03,,,,대창동2가,2611010300,2611010300
2611010400,부산광역시 중구 중앙동1가,,04,,,,중앙동1가,2611010400,2611010400
2611010500,부산광역시 중구 중앙동2가,,05,,,,중앙동2가,2611010500,2611010500
2611010600,부산광역시 중구 중앙동3가,,06,,,,중앙동3가,2611010600,2611010600
2611010700,부산광역시 중구 중앙동4가,,07,,,,중앙동4가,2611010700,2611010700
2611010800,부산광역시 중구 중앙동5가,,08,,,,중앙동5가,2611010800,2611010800
2611010900,부산광역시 중구 중앙동6가,,09,,,,중앙동6가,2611010900,2611010900
2611011000,부산광역시 중구 중앙동7가,,10,,,,중앙동7가,2611011000,2611011000
2611011100,부산광역시 중구 동광동1가,,11,,,,동광동1가,2611011100,2611011100
2611011200,부산광역시 중구 동광동2가,,12,,,,동광동2가,2611011200,2611011200
2611011300,부산광역시 중구 동광동3가,,13,,,,동광동3가,2611011300,2611011300
2611011400,부산광역시 중구 동광동4가,,14,,,,동광동4가,2611011400,2611011400
2611011500,부산광역시 중구 동광동5가,,15,,,,동광동5가,2611011500,2611011500
2611011600,부산광역시 중구 대청동1가,,16,,,,대청동1가,2611011600,2611011600
2611011700,부산광역시 중구 대청동2가,,17,,,,대청동2가,2611011700,2611011700
2611011800,부산광역시 중구 대청동3가,,18,,,,대청동3가,2611011800,2611011800
2611011900,부산광역시 중구 대청동4가,,19,,,,대청동4가,2611011900,2611011900
2611012000,부산광역시 중구 보수동1가,,20,,,,보수동1가,2611012000,2611012000
2611012100,부산광역시 중구 보수동2가,,21,,,,보수동2가,2611012100,2611012100
2611012200,부산광역시 중구 보수동3가,,22,,,,보수동3가,2611012200,2611012200
2611012300,부산광역시 중구 부평동1가,,23,,,,부평동1가,2611012300,2611012300
2611012400,부산광역시 중구 부평동2가,,24,,,,부평동2가,2611012400,2611012400
2611012500,부산광역시 중구 부평동3가,,25,,,,부평동3가,2611012500,2611012500
2611012600,부산광역시 중구 부평동4가,,26,,,,부평동4가,2611012600,2611012600
2611012700,부산광역시 중구 신창동1가,,27,,,,신창동1가,2611012700,2611012700
2611012800,부산광역시 중구 신창동2가,,28,,,,신창동2가,2611012800,2611012800
2611012900,부산광역시 중구 신창동3가,,29,,,,신창동3가,2611012900,2611012900
2611013000,부산광역시 중구 신창동4가,,30,,,,신창동4가,2611013000,2611013000
2611013100,부산광역시 중구 창선동1가,,31,,,,창선동1가,2611013100,2611013100
2611013200,부산광역시 중구 창선동2가,,32,,,,창선동2가,2611013200,2611013200
2611013300,부산광역시 중구 광복동1가,,33,,,,광복동1가,2611013300,2611013300
2611013400,부산광역시 중구 광복동2가,,34,,,,광복동2가,2611013400,2611013400
2611013500,부산광역시 중구 광복동3가,,35,,,,광복동3가,2611013500,2611013500
2611013600,부산광역시 중구 남포동1가,,36,,,,남포동1가,2611013600,2611013600
2611013700,부산광역시 중구 남포동2가,,37,,,,남포동2가,2611013700,2611013700
2611013800,부산광역시 중구 남포동3가,,38,,,,남포동3가,2611013800,2611013800
2611013900,부산광역시 중구 남포동4가,,39,,,,남포동4가,2611013900,2611013900
2611014000,부산광역시 중구 남포동5가,,40,,,,남포동5가,2611014000,2611014000
2611014100,부산광역시 중구 남포동6가,,41,,,,남포동6가,2611014100,2611014100
2614000000,부산광역시 서구,,02,,,,서구,2614000000,2614000000
2614010100,부산광역시 서구 동대신동1가,,01,,,,동대신동1가,2614010100,2614010100
2614010200,부산광역시 서구 동대신동2가,,02,,,,동대신동2가,2614010200,2614010200
2614010300,부산광역시 서구 동대신동3가,,03,,,,동대신동3가,2614010300,2614010300
2614010400,부산광역시 서구 서대신동1가,,04,,,,서대신동1가,2614010400,2614010400
2614010500,부산광역시 서구 서대신동2가,,05,,,,서대신동2가,2614010500,2614010500
2614010600,부산광역시 서구 서대신동3가,,06,,,,서대신동3가,2614010600,2614010600
2614010700,부산광역시 서구 부용동1가,,07,,,,부용동1가,2614010700,2614010700
2614010800,부산광역시 서구 부용동2가,,08,,,,부용동2가,2614010800,2614010800
2614010900,부산광역시 서구 부민동1가,,09,,,,부민동1가,2614010900,2614010900
2614011000,부산광역시 서구 부민동2가,,10,,,,부민동2가,2614011000,2614011000
2614011100,부산광역시 서구 부민동3가,,11,,,,부민동3가,2614011100,2614011100
2614011200,부산광역시 서구 토성동1가,,12,,,,토성동1가,2614011200,2614011200
2614011300,부산광역시 서구 토성동2가,,13,,,,토성동2가,2614011300,2614011300
2614011400,부산광역시 서구 토성동3가,,14,,,,토성동3가,2614011400,2614011400
2614011500,부산광역시 서구 아미동1가,,15,,,,아미동1가,2614011500,2614011500
2614011600,부산광역시 서구 아미동2가,,16,,,,아미동2가,2614011600,2614011600
2614011700,부산광역시 서구 토성동4가,,17,,,,토성동4가,2614011700,2614011700
2614011800,부산광역시 서구 토성동5가,,18,,,,토성동5가,2614011800,2614011800
2614011900,부산광역시 서구 초장동,,19,,,,초장동,2614011900,2614011900
2614012000,부산광역시 서구 충무동1가,,20,,,,충무동1가,2614012000,2614012000
2614012100,부산광역시 서구 충무동2가,,21,,,,충무동2가,2614012100,2614012100
2614012200,부산광역시 서구 충무동3가,,22,,,,충무동3가,2614012200,2614012200
2614012300,부산광역시 서구 남부민동,,23,,,,남부민동,2614012300,2614012300
2614012400,부산광역시 서구 암남동,,24,,,,암남동,2614012400,2614012400
2617000000,부산광역시 동구,,03,,,,동구,2617000000,2617000000
2617010100,부산광역시 동구 초량동,,01,,,,초량동,2617010100,2617010100
2617010200,부산광역시 동구 수정동,,02,,,,수정동,2617010200,2617010200
2617010300,부산광역시 동구 좌천동,,03,,,,좌천동,2617010300,2617010300
2617010400,부산광역시 동구 범일동,,04,,,,범일동,2617010400,2617010400
2620000000,부산광역시 영도구,,04,,,,영도구,2620000000,2620000000
