법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4600000000,전라남도,,13,,,,전라남도,4600000000,4600000000
4611000000,전라남도 목포시,,01,,,,목포시,4611000000,4611000000
4611010100,전라남도 목포시 용당동,,01,,,,용당동,4611010100,4611010100
4611010200,전라남도 목포시 산정동,,02,,,,산정동,4611010200,4611010200
4611010300,전라남도 목포시 연산동,,03,,,,연산동,4611010300,4611010300
4611010400,전라남도 목포시 대성동,,04,,,,대성동,4611010400,4611010400
4611010500,전라남도 목포시 양동,,05,,,,양동,4611010500,4611010500
4611010600,전라남도 목포시 북교동,,06,,,,북교동,4611010600,4611010600
4611010700,전라남도 목포시 남교동,,07,,,,남교동,4611010700,4611010700
4611010800,전라남도 목포시 호남동,,08,,,,호남동,4611010800,4611010800
4611010900,전라남도 목포시 대안동,,09,,,,대안동,4611010900,4611010900
4611011000,전라남도 목포시 창평동,,10,,,,창평동,4611011000,4611011000
4611011100,전라남도 목포시 명륜동,,11,,,,명륜동,4611011100,4611011100
4611011200,전라남도 목포시 죽동,,12,,,,죽동,4611011200,4611011200
4611011300,전라남도 목포시 무안동,,13,,,,무안동,4611011300,4611011300
4611011400,전라남도 목포시 측후동,,14,,,,측후동,4611011400,4611011400
4611011500,전라남도 목포시 상락동1가,,15,,,,상락동1가,4611011500,4611011500
4611011600,전라남도 목포시 상락동2가,,16,,,,상락동2가,4611011600,4611011600
4611011700,전라남도 목포시 복만동,,17,,,,복만동,4611011700,4611011700
4611011800,전라남도 목포시 동명동,,18,,,,동명동,4611011800,4611011800
4611011900,전라남도 목포시 광동1가,,19,,,,광동1가,4611011900,4611011900
4611012000,전라남도 목포시 광동2가,,20,,,,광동2가,4611012000,4611012000
4611012100,전라남도 목포시 광동3가,,21,,,,광동3가,4611012100,4611012100
4611012200,전라남도 목포시 영해동1가,,22,,,,영해동1가,4611012200,4611012200
4611012300,전라남도 목포시 영해동2가,,23,,,,영해동2가,4611012300,4611012300
4611012400,전라남도 목포시 행복동1가,,24,,,,행복동1가,4611012400,4611012400
4611012500,전라남도 목포시 행복동2가,,25,,,,행복동2가,4611012500,4611012500
4611012600,전라남도 목포시 축복동1가,,26,,,,축복동1가,4611012600,4611012600
4611012700,전라남도 목포시 축복동2가,,27,,,,축복동2가,4611012700,4611012700
