법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4500000000,전라북도,,12,,,,전라북도,4500000000,4500000000
4511000000,전라북도 전주시,,01,,,,전주시,4511000000,4511000000
4511100000,전라북도 전주시 완산구,,02,,,,전주시 완산구,4511100000,4511100000
4511110100,전라북도 전주시 완산구 중앙동1가,,01,,,,중앙동1가,4511110100,4511110100
4511110200,전라북도 전주시 완산구 중앙동2가,,02,,,,중앙동2가,4511110200,4511110200
4511110300,전라북도 전주시 완산구 중앙동3가,,03,,,,중앙동3가,4511110300,4511110300
4511110400,전라북도 전주시 완산구 중앙동4가,,04,,,,중앙동4가,4511110400,4511110400
4511110500,전라북도 전주시 완산구 경원동1가,,05,,,,경원동1가,4511110500,4511110500
4511110600,전라북도 전주시 완산구 경원동2가,,06,,,,경원동2가,4511110600,4511110600
4511110700,전라북도 전주시 완산구 경원동3가,,07,,,,경원동3가,4511110700,4511110700
4511110800,전라북도 전주시 완산구 풍남동1가,,08,,,,풍남동1가,4511110800,4511110800
4511110900,전라북도 전주시 완산구 풍남동2가,,09,,,,풍남동2가,4511110900,4511110900
4511111000,전라북도 전주시 완산구 풍남동3가,,10,,,,풍남동3가,4511111000,4511111000
4511111100,전라북도 전주시 완산구 전동,,11,,,,전동,4511111100,4511111100
4511111200,전라북도 전주시 완산구 전동3가,,12,,,,전동3가,4511111200,4511111200
4511111300,전라북도 전주시 완산구 다가동1가,,13,,,,다가동1가,4511111300,4511111300
4511111400,전라북도 전주시 완산구 다가동2가,,14,,,,다가동2가,4511111400,4511111400
4511111500,전라북도 전주시 완산구 다가동3가,,15,,,,다가동3가,4511111500,4511111500
4511111600,전라북도 전주시 완산구 다가동4가,,16,,,,다가동4가,4511111600,4511111600
4511111700,전라북도 전주시 완산구 고사동,,17,,,,고사동,4511111700,4511111700
4511111800,전라북도 전주시 완산구 교동,,18,,,,교동,4511111800,4511111800
4511111900,전라북도 전주시 완산구 태평동,4511100000,19,20000101,,,태평동,4511111900,4511111900
4511112000,전라북도 전주시 완산구 중노송동,,20,,,,중노송동,4511112000,4511112000
4511112100,전라북도 전주시 완산구 남노송동,,21,,,,남노송동,4511112100,4511112100
4511112200,전라북도 전주시 완산구 동완산동,,22,,,,동완산동,4511112200,4511112200
4511112300,전라북도 전주시 완산구 서완산동1가,,23,,,,서완산동1가,4511112300,4511112300
4511112400,전라북도 전주시 완산구 서완산동2가,,24,,,,서완산동2가,4511112400,4511112400
4511112500,전라북도 전주시 완산구 동서학동,,25,,,,동서학동,4511112500,4511112500
4511112600,전라북도 전주시 완산구 서서학동,,26,,,,서서학동,4511112600,4511112600
4511112700,전라북도 전주시 완산구 중화산동1가,,27,,,,중화산동1가,4511112700,4511112700
4511112800,전라북도 전주시 완산구 중화산동2가,,28,,,,중화산동2가,4511112800,4511112800
4511112900,전라북도 전주시 완산구 서신동,,29,,,,서신동,4511112900,4511112900
4511113000,전라북도 전주시 완산구 석구동,,30,,,,석구동,4511113000,4511113000
4511113100,전라북도 전주시 완산구 원당동,,31,,,,원당동,4511113100,4511113100
4511113200,전라북도 전주시 완산구 평화동1가,,32,,,,평화동1가,4511113200,4511113200
4511113300,전라북도 전주시 완산구 평화동2가,,33,,,,평화동2가,4511113300,4511113300
4511113400,전라북도 전주시 완산구 평화동3가,,34,,,,평화동3가,4511113400,4511113400
4511113500,전라북도 전주시 완산구 중인동,,35,,,,중인동,4511113500,4511113500
4511113600,전라북도 전주시 완산구 용복동,,36,,,,용복동,4511113600,4511113600
4511113700,전라북도 전주시 완산구 삼천동1가,,37,,,,삼천동1가,4511113700,4511113700
4511113800,전라북도 전주시 완산구 삼천동2가,,38,,,,삼천동2가,4511113800,4511113800
4511113900,전라북도 전주시 완산구 삼천동3가,,39,,,,삼천동3가,4511113900,4511113900
4511114000,전라북도 전주시 완산구 효자동1가,,40,,,,효자동1가,4511114000,4511114000
4511114100,전라북도 전주시 완산구 효자동2가,,41,,,,효자동2가,4511114100,4511114100
4511114200,전라북도 전주시 완산구 효자동3가,,42,,,,효자동3가,4511114200,4511114200
4511114300,전라북도 전주시 완산구 대성동,,43,,,,대성동,4511114300,4511114300
4511114400,전라북도 전주시 완산구 색장동,,46,,,,색장동,4511114400,4511114400
4511114500,전라북도 전주시 완산구 상림동,,44,,,,상림동,4511114500,4511114500
4511114600,전라북도 전주시 완산구 중동,,45,,,,중동,4511114600,4511114600
4511114700,전라북도 전주시 완산구 서노송동,4511100000,01,20050801,,,서노송동,4511114700,4511114700
