법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
5000000000,제주특별자치도,0000000000,50,20060701,,,제주특별자치도,5000000000,5000000000
5011000000,제주특별자치도 제주시,5000000000,10,20060701,,,제주시,5011000000,5011000000
5011010100,제주특별자치도 제주시 일도일동,5011000000,01,20060701,,,일도일동,5011010100,5011010100
5011010200,제주특별자치도 제주시 일도이동,5011000000,02,20060701,,,일도이동,5011010200,5011010200
5011010300,제주특별자치도 제주시 이도일동,5011000000,03,20060701,,,이도일동,5011010300,5011010300
5011010400,제주특별자치도 제주시 이도이동,5011000000,01,20060701,,,이도이동,5011010400,5011010400
5011010500,제주특별자치도 제주시 삼도일동,5011000000,01,20060701,,,삼도일동,5011010500,5011010500
5011010600,제주특별자치도 제주시 삼도이동,5011000000,06,20060701,,,삼도이동,5011010600,5011010600
5011010700,제주특별자치도 제주시 건입동,5011000000,01,20060701,,,건입동,5011010700,5011010700
5011010800,제주특별자치도 제주시 용담일동,5011000000,01,20060701,,,용담일동,5011010800,5011010800
5011010900,제주특별자치도 제주시 용담이동,5011000000,01,20060701,,,용담이동,5011010900,5011010900
5011011000,제주특별자치도 제주시 용담삼동,5011000000,01,20060701,,,용담삼동,5011011000,5011011000
5011011100,제주특별자치도 제주시 화북일동,5011000000,01,20060701,,,화북일동,5011011100,5011011100
5011011200,제주특별자치도 제주시 화북이동,5011000000,01,20060701,,,화북이동,5011011200,5011011200
5011011300,제주특별자치도 제주시 삼양일동,5011000000,01,20060701,,,삼양일동,5011011300,5011011300
5011011400,제주특별자치도 제주시 삼양이동,5011000000,01,20060701,,,삼양이동,5011011400,5011011400
5011011500,제주특별자치도 제주시 삼양삼동,5011000000,01,20060701,,,삼양삼동,5011011500,5011011500
5011011600,제주특별자치도 제주시 봉개동,5011000000,01,20060701,,,봉개동,5011011600,5011011600
5011011700,제주특별자치도 제주시 아라일동,5011000000,01,20060701,,,아라일동,5011011700,5011011700
5011011800,제주특별자치도 제주시 아라이동,5011000000,01,20060701,,,아라이동,5011011800,5011011800
5011011900,제주특별자치도 제주시 오라일동,5011000000,01,20060701,,,오라일동,5011011900,5011011900
5011012000,제주특별자치도 제주시 오라이동,5011000000,01,20060701,,,오라이동,5011012000,5011012000
5011012100,제주특별자치도 제주시 오라삼동,5011000000,01,20060701,,,오라삼동,5011012100,5011012100
5011012200,제주특별자치도 제주시 노형동,5011000000,01,20060701,,,노형동,5011012200,5011012200
5011012300,제주특별자치도 제주시 외도일동,5011000000,01,20060701,,,외도일동,5011012300,5011012300
5011012400,제주특별자치도 제주시 외도이동,5011000000,01,20060701,,,외도이동,5011012400,5011012400
5011012500,제주특별자치도 제주시 이호일동,5011000000,01,20060701,,,이호일동,5011012500,5011012500
5011012600,제주특별자치도 제주시 이호이동,5011000000,01,20060701,,,이호이동,5011012600,5011012600
5011012700,제주특별자치도 제주시 도두일동,5011000000,01,20060701,,,도두일동,5011012700,5011012700
5011012800,제주특별자치도 제주시 도두이동,5011000000,01,20060701,,,도두이동,5011012800,5011012800
5011012900,제주특별자치도 제주시 도남동,5011000000,01,20060701,,,도남동,5011012900,5011012900
5011013000,제주특별자치도 제주시 도련일동,5011000000,01,20060701,,,도련일동,5011013000,5011013000
5011013100,제주특별자치도 제주시 도련이동,5011000000,01,20060701,,,도련이동,5011013100,5011013100
5011013200,제주특별자치도 제주시 용강동,5011000000,01,20060701,,,용강동,5011013200,5011013200
5011013300,제주특별자치도 제주시 회천동,5011000000,01,20060701,,,회천동,5011013300,5011013300
5011013400,제주특별자치도 제주시 오등동,5011000000,01,20060701,,,오등동,5011013400,5011013400
5011013500,제주특별자치도 제주시 월평동,5011000000,01,20060701,,,월평동,5011013500,5011013500
5011013600,제주특별자치도 제주시 영평동,5011000000,01,20060701,,,영평동,5011013600,5011013600
5011013700,제주특별자치도 제주시 연동,5011000000,01,20060701,,,연동,5011013700,5011013700
5011013800,제주특별자치도 제주시 도평동,5011000000,01,20060701,,,도평동,5011013800,5011013800
5011013900,제주특별자치도 제주시 해안동,5011000000,01,20060701,,,해안동,5011013900,5011013900
5011014000,제주특별자치도 제주시 내도동,5011000000,01,20060701,,,내도동,5011014000,5011014000
5011025000,제주특별자치도 제주시 한림읍,5011000000,01,20060701,,,한림읍,5011025000,5011025000
5011025021,제주특별자치도 제주시 한림읍 귀덕리,5011025000,01,20060701,,,귀덕리,5011025021,5011025021
5011025022,제주특별자치도 제주시 한림읍 수원리,5011025000,01,20060701,,,수원리,5011025022,5011025022
5011025023,제주특별자치도 제주시 한림읍 대림리,5011025000,01,20060701,,,대림리,5011025023,5011025023
5011025024,제주특별자치도 제주시 한림읍 한림리,5011025000,01,20060701,,,한림리,5011025024,5011025024
5011025025,제주특별자치도 제주시 한림읍 금악리,5011025000,01,20060701,,,금악리,5011025025,5011025025
5011025026,제주특별자치도 제주시 한림읍 동명리,5011025000,01,20060701,,,동명리,5011025026,5011025026
5011025027,제주특별자치도 제주시 한림읍 명월리,5011025000,01,20060701,,,명월리,5011025027,5011025027
5011025028,제주특별자치도 제주시 한림읍 옹포리,5011025000,01,20060701,,,옹포리,5011025028,5011025028
5011025029,제주특별자치도 제주시 한림읍 상대리,5011025000,01,20060701,,,상대리,5011025029,5011025029
5011025030,제주특별자치도 제주시 한림읍 상명리,5011025000,01,20060701,,,상명리,5011025030,5011025030
5011025031,제주특별자치도 제주시 한림읍 협재리,5011025000,01,20060701,,,협재리,5011025031,5011025031
5011025032,제주특별자치도 제주시 한림읍 월령리,5011025000,01,20060701,,,월령리,5011025032,5011025032
5011025033,제주특별자치도 제주시 한림읍 금능리,5011025000,01,20060701,,,금능리,5011025033,5011025033
5011025034,제주특별자치도 제주시 한림읍 월림리,5011025000,01,20060701,,,월림리,5011025034,5011025034
5011025035,제주특별자치도 제주시 한림읍 한수리,5011025000,01,20060701,,,한수리,5011025035,5011025035
5011025300,제주특별자치도 제주시 애월읍,5011000000,01,20060701,,,애월읍,5011025300,5011025300
5011025301,제주특별자치도 제주시 애월읍 용흥리,5011025300,01,20060701,,,용흥리,5011025301,5011025301
5011025302,제주특별자치도 제주시 애월읍 중엄리,5011025300,01,20060701,,,중엄리,5011025302,5011025302
5011025305,제주특별자치도 제주시 애월읍 귀일리,5011025300,01,20060701,,,귀일리,5011025305,5011025305
5011025306,제주특별자치도 제주시 애월읍 어도리,5011025300,01,20060701,,,어도리,5011025306,5011025306
5011025307,제주특별자치도 제주시 애월읍 동귀리,5011025300,01,20060701,,,동귀리,5011025307,5011025307
5011025321,제주특별자치도 제주시 애월읍 광령리,5011025300,01,20060701,,,광령리,5011025321,5011025321
5011025323,제주특별자치도 제주시 애월읍 상귀리,5011025300,01,20060701,,,상귀리,5011025323,5011025323
5011025324,제주특별자치도 제주시 애월읍 구엄리,5011025300,01,20060701,,,구엄리,5011025324,5011025324
5011025325,제주특별자치도 제주시 애월읍 수산리,5011025300,01,20060701,,,수산리,5011025325,5011025325
5011025326,제주특별자치도 제주시 애월읍 신엄리,5011025300,01,20060701,,,신엄리,5011025326,5011025326
5011025327,제주특별자치도 제주시 애월읍 장전리,5011025300,01,20060701,,,장전리,5011025327,5011025327
5011025328,제주특별자치도 제주시 애월읍 소길리,5011025300,01,20060701,,,소길리,5011025328,5011025328
5011025329,제주특별자치도 제주시 애월읍 고성리,5011025300,01,20060701,,,고성리,5011025329,5011025329
5011025330,제주특별자치도 제주시 애월읍 하가리,5011025300,01,20060701,,,하가리,5011025330,5011025330
5011025331,제주특별자치도 제주시 애월읍 상가리,5011025300,01,20060701,,,상가리,5011025331,5011025331
5011025333,제주특별자치도 제주시 애월읍 고내리,5011025300,01,20060701,,,고내리,5011025333,5011025333
5011025334,제주특별자치도 제주시 애월읍 애월리,5011025300,01,20060701,,,애월리,5011025334,5011025334
5011025335,제주특별자치도 제주시 애월읍 납읍리,5011025300,01,20060701,,,납읍리,5011025335,5011025335
5011025336,제주특별자치도 제주시 애월읍 어음리,5011025300,01,20060701,,,어음리,5011025336,5011025336
5011025337,제주특별자치도 제주시 애월읍 곽지리,5011025300,01,20060701,,,곽지리,5011025337,5011025337
5011025338,제주특별자치도 제주시 애월읍 금성리,5011025300,01,20060701,,,금성리,5011025338,5011025338
5011025339,제주특별자치도 제주시 애월읍 봉성리,5011025300,01,20060701,,,봉성리,5011025339,5011025339
5011025340,제주특별자치도 제주시 애월읍 하귀1리,5011025300,01,20060701,,,하귀1리,5011025340,5011025340
