법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4300000000,충청북도,,10,,,,충청북도,4300000000,4300000000
4311000000,충청북도 청주시,,01,,,,청주시,4311000000,4311000000
4311100000,충청북도 청주시 상당구,,02,,,,청주시 상당구,4311100000,4311100000
4311110100,충청북도 청주시 상당구 영동,,01,,,,영동,4311110100,4311110100
4311110200,충청북도 청주시 상당구 북문로1가,,02,19560212,,,북문로1가,4311110200,4311110200
4311110300,충청북도 청주시 상당구 북문로2가,,03,19560212,,,북문로2가,4311110300,4311110300
4311110400,충청북도 청주시 상당구 북문로3가,,04,19560212,,,북문로3가,4311110400,4311110400
4311110500,충청북도 청주시 상당구 남문로1가,,05,19560212,,,남문로1가,4311110500,4311110500
4311110600,충청북도 청주시 상당구 남문로2가,,06,19560212,,,남문로2가,4311110600,4311110600
4311110700,충청북도 청주시 상당구 문화동,,07,,,,문화동,4311110700,4311110700
4311110800,충청북도 청주시 상당구 서운동,,08,,,,서운동,4311110800,4311110800
4311110900,충청북도 청주시 상당구 서문동,,09,,,,서문동,4311110900,4311110900
4311111000,충청북도 청주시 상당구 남주동,,10,,,,남주동,4311111000,4311111000
4311111100,충청북도 청주시 상당구 석교동,,11,,,,석교동,4311111100,4311111100
4311111200,충청북도 청주시 상당구 수동,,12,,,,수동,4311111200,4311111200
4311111700,충청북도 청주시 상당구 탑동,,17,,,,탑동,4311111700,4311111700
4311111800,충청북도 청주시 상당구 대성동,,18,,,,대성동,4311111800,4311111800
4311111900,충청북도 청주시 상당구 영운동,,19,,,,영운동,4311111900,4311111900
4311112000,충청북도 청주시 상당구 금천동,,20,,,,금천동,4311112000,4311112000
4311112100,충청북도 청주시 상당구 용담동,,21,,,,용담동,4311112100,4311112100
4311112200,충청북도 청주시 상당구 명암동,,22,,,,명암동,4311112200,4311112200
4311112300,충청북도 청주시 상당구 산성동,,23,,,,산성동,4311112300,4311112300
4311112400,충청북도 청주시 상당구 용암동,,24,,,,용암동,4311112400,4311112400
4311112500,충청북도 청주시 상당구 용정동,,25,,,,용정동,4311112500,4311112500
4311112600,충청북도 청주시 상당구 방서동,,26,,,,방서동,4311112600,4311112600
4311112700,충청북도 청주시 상당구 평촌동,,27,,,,평촌동,4311112700,4311112700
4311112800,충청북도 청주시 상당구 지북동,,28,,,,지북동,4311112800,4311112800
4311112900,충청북도 청주시 상당구 운동동,,29,,,,운동동,4311112900,4311112900
4311113000,충청북도 청주시 상당구 월오동,,30,,,,월오동,4311113000,4311113000
4311131000,충청북도 청주시 상당구 낭성면,,13,20140701,,,낭성면,4311131000,4311131000
4311131021,충청북도 청주시 상당구 낭성면 관정리,,01,20140701,,,관정리,4311131021,4311131021
4311131022,충청북도 청주시 상당구 낭성면 귀래리,,02,20140701,,,귀래리,4311131022,4311131022
4311131023,충청북도 청주시 상당구 낭성면 추정리,,03,20140701,,,추정리,4311131023,4311131023
4311131024,충청북도 청주시 상당구 낭성면 호정리,,04,20140701,,,호정리,4311131024,4311131024
4311131025,충청북도 청주시 상당구 낭성면 이목리,,05,20140701,,,이목리,4311131025,4311131025
4311131026,충청북도 청주시 상당구 낭성면 문박리,,06,20140701,,,문박리,4311131026,4311131026
4311131027,충청북도 청주시 상당구 낭성면 인경리,,07,20140701,,,인경리,4311131027,4311131027
4311131028,충청북도 청주시 상당구 낭성면 지산리,,08,20140701,,,지산리,4311131028,4311131028
4311131029,충청북도 청주시 상당구 낭성면 갈산리,,09,20140701,,,갈산리,4311131029,4311131029
4311131030,충청북도 청주시 상당구 낭성면 삼산리,,10,20140701,,,삼산리,4311131030,4311131030
4311131031,충청북도 청주시 상당구 낭성면 현암리,,11,20140701,,,현암리,4311131031,4311131031
4311131032,충청북도 청주시 상당구 낭성면 무성리,,12,20140701,,,무성리,4311131032,4311131032
4311132000,충청북도 청주시 상당구 미원면,,01,20140701,,,미원면,4311132000,4311132000
4311132021,충청북도 청주시 상당구 미원면 미원리,,02,20140701,,,미원리,4311132021,4311132021
4311132022,충청북도 청주시 상당구 미원면 쌍이리,,03,20140701,,,쌍이리,4311132022,4311132022
4311132023,충청북도 청주시 상당구 미원면 중리,,04,20140701,,,중리,4311132023,4311132023
4311132024,충청북도 청주시 상당구 미원면 내산리,,05,20140701,,,내산리,4311132024,4311132024
4311132025,충청북도 청주시 상당구 미원면 구방리,,06,20140701,,,구방리,4311132025,4311132025
4311132026,충청북도 청주시 상당구 미원면 기암리(岐岩),,07,20140701,,,기암리(岐岩),4311132026,4311132026
4311132027,충청북도 청주시 상당구 미원면 운교리,,08,20140701,,,운교리,4311132027,4311132027
4311132028,충청북도 청주시 상당구 미원면 대덕리,,09,20140701,,,대덕리,4311132028,4311132028
4311132029,충청북도 청주시 상당구 미원면 운용리,,10,20140701,,,운용리,4311132029,4311132029
4311132030,충청북도 청주시 상당구 미원면 화원리,,11,20140701,,,화원리,4311132030,4311132030
4311132031,충청북도 청주시 상당구 미원면 용곡리,,12,20140701,,,용곡리,4311132031,4311132031
4311132032,충청북도 청주시 상당구 미원면 수산리,,13,20140701,,,수산리,4311132032,4311132032
4311132033,충청북도 청주시 상당구 미원면 기암리(基岩),,14,20140701,,,기암리(基岩),4311132033,4311132033
4311132034,충청북도 청주시 상당구 미원면 가양리,,15,20140701,,,가양리,4311132034,4311132034
4311132035,충청북도 청주시 상당구 미원면 화창리,,16,20140701,,,화창리,4311132035,4311132035
4311132036,충청북도 청주시 상당구 미원면 종암리,,17,20140701,,,종암리,4311132036,4311132036
4311132037,충청북도 청주시 상당구 미원면 대신리,,18,20140701,,,대신리,4311132037,4311132037
4311132038,충청북도 청주시 상당구 미원면 운암리,,19,20140701,,,운암리,4311132038,4311132038
4311132039,충청북도 청주시 상당구 미원면 옥화리,,20,20140701,,,옥화리,4311132039,4311132039
4311132040,충청북도 청주시 상당구 미원면 월용리,,21,20140701,,,월용리,4311132040,4311132040
4311132041,충청북도 청주시 상당구 미원면 금관리,,22,20140701,,,금관리,4311132041,4311132041
4311132042,충청북도 청주시 상당구 미원면 어암리,,23,20140701,,,어암리,4311132042,4311132042
4311132043,충청북도 청주시 상당구 미원면 계원리,,24,20140701,,,계원리,4311132043,4311132043
4311132044,충청북도 청주시 상당구 미원면 성대리,,25,20140701,,,성대리,4311132044,4311132044
4311133000,충청북도 청주시 상당구 가덕면,,01,20140701,,,가덕면,4311133000,4311133000
4311133021,충청북도 청주시 상당구 가덕면 청용리,,02,20140701,,,청용리,4311133021,4311133021
4311133022,충청북도 청주시 상당구 가덕면 행정리,,03,20140701,,,행정리,4311133022,4311133022
4311133023,충청북도 청주시 상당구 가덕면 삼항리,,04,20140701,,,삼항리,4311133023,4311133023
4311133024,충청북도 청주시 상당구 가덕면 국전리,,05,20140701,,,국전리,4311133024,4311133024
4311133025,충청북도 청주시 상당구 가덕면 상대리,,06,20140701,,,상대리,4311133025,4311133025
4311133026,충청북도 청주시 상당구 가덕면 노동리,,07,20140701,,,노동리,4311133026,4311133026
4311133027,충청북도 청주시 상당구 가덕면 인차리,,08,20140701,,,인차리,4311133027,4311133027
4311133028,충청북도 청주시 상당구 가덕면 계산리,,09,20140701,,,계산리,4311133028,4311133028
4311133029,충청북도 청주시 상당구 가덕면 수곡리,,10,20140701,,,수곡리,4311133029,4311133029
4311133030,충청북도 청주시 상당구 가덕면 시동리,,11,20140701,,,시동리,4311133030,4311133030
4311133031,충청북도 청주시 상당구 가덕면 병암리,,12,20140701,,,병암리,4311133031,4311133031
4311133032,충청북도 청주시 상당구 가덕면 금거리,,13,20140701,,,금거리,4311133032,4311133032
4311133033,충청북도 청주시 상당구 가덕면 상야리,,14,20140701,,,상야리,4311133033,4311133033
4311133034,충청북도 청주시 상당구 가덕면 한계리,,15,20140701,,,한계리,4311133034,4311133034
4311133035,충청북도 청주시 상당구 가덕면 내암리,,16,20140701,,,내암리,4311133035,4311133035
4311134000,충청북도 청주시 상당구 남일면,,01,20140701,,,남일면,4311134000,4311134000
4311134021,충청북도 청주시 상당구 남일면 송암리,,02,20140701,,,송암리,4311134021,4311134021
4311134022,충청북도 청주시 상당구 남일면 효촌리,,03,20140701,,,효촌리,4311134022,4311134022
4311134023,충청북도 청주시 상당구 남일면 문주리,,04,20140701,,,문주리,4311134023,4311134023
4311134024,충청북도 청주시 상당구 남일면 황청리,,05,20140701,,,황청리,4311134024,4311134024
