LEGL_DONG_CD,LEGL_DONG_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,CMPL_YYMM,HOUSE_TYP_NM,PYNG_PER_SALE_PRC,PYNG_PER_JS_PRC,JS_PER_RATE,GNRL_AVG_PRC,GNRL_JS_AVG_PRC
1165000000,서초구,KBM036008,아크로리버파크,1612,201608,110.66㎡/84.97㎡,9095,4175,46,305000,140000
1168000000,강남구,KBM036277,래미안대치팰리스1단지,1278,201509,113.15㎡/84.97㎡,7947,4302,54,272500,147500
1120000000,성동구,KBM036511,트리마제,688,201705,128.9C㎡/84.54㎡,6016,3328,55,235000,130000
1171000000,송파구,KBM017280,리센츠,5563,200807,109.31㎡/84.99㎡,5781,2672,46,191500,88500
1159000000,동작구,KBM041329,아크로리버하임,1073,201811,112.55B㎡/84.91㎡,4838,2419,50,165000,82500
1117000000,용산구,KBM002614,이촌(코오롱),834,199911,107.17B㎡/84.78㎡,4696,2109,45,152500,68500
1144000000,마포구,KBM033087,래미안마포리버웰,563,201502,109.62㎡/84.98㎡,4636,2484,54,154000,82500
1111000000,종로구,KBM043944,경희궁자이(2단지),1148,201702,111.55㎡/84.61㎡,4630,2367,51,156500,80000
4129000000,과천시,KBM040735,래미안과천센트럴스위트,543,201807,117.5㎡/84.94㎡,4100,2556,62,146000,91000
1141000000,서대문구,KBM043961,e편한세상신촌,1910,201703,115.23F㎡/84.82㎡,4024,2005,50,140500,70000
1147000000,양천구,KBM036677,목동힐스테이트,1081,201605,109.42㎡/84.98㎡,3936,2307,59,130500,76500
1174000000,강동구,KBM041950,고덕그라시움,4932,201909,114.66㎡/84.24㎡,3885,1554,40,135000,54000
1156000000,영등포구,KBM037504,래미안에스티움,1722,201704,109.57A㎡/84.92㎡,3840,1762,46,127500,58500
1114000000,중구,KBM037293,서울역센트럴자이,1341,201708,112.45㎡/84.97㎡,3815,1966,52,130000,67000
1150000000,강서구,KBM036666,마곡힐스테이트,603,201708,114.18㎡/84.98㎡,3410,1553,46,118000,53750
4145000000,하남시,KBM036323,위례신도시엠코타운센트로엘,673,201606,128.02A㎡/98.79㎡,3403,1714,50,132000,66500
1153000000,구로구,KBM013446,신도림4차e-편한세상,853,200305,114.95㎡/84.78㎡,3287,1895,58,114500,66000
1123000000,동대문구,KBM039375,동대문롯데캐슬노블레스,584,201806,114.11㎡/84.98㎡,3253,1547,48,112500,53500
1129000000,성북구,KBM039341,래미안길음센터피스,2352,201902,118.16㎡/84.95㎡,3114,1662,53,111500,59500
1138000000,은평구,KBM040084,힐스테이트녹번,952,20181,111.86A㎡/84.9㎡,3039,1608,53,103000,54500
1135000000,노원구,KBM001198,청구(3차),780,199607,104.64㎡/84.77㎡,2775,1703,61,88000,54000
4121000000,광명시,KBM017924,철산푸르지오하늘채,1264,201002,108.42㎡/84.99㎡,2592,1674,65,85167,55000
4159000000,화성시,KBM034844,동탄역시범더샵센트럴시티,874,201509,113.98A㎡/84.79㎡,2548,984,39,88000,34000
1162000000,관악구,KBM014603,우림루미아트,174,200412,104.23A㎡/84.51㎡,2454,1678,68,77500,53000
4143000000,의왕시,KBM030979,포일숲속마을(3단지),366,201109,110.3탑층㎡/84.9㎡,2319,1242,54,77500,41500
1126000000,중랑구,KBM038146,e편한세상화랑대,719,201712,115.54㎡/84.83㎡,2285,1442,63,80000,50500
1132000000,도봉구,KBM001354,동아청솔(1차),1981,199703,108.85㎡/84.97㎡,2213,1061,48,73000,35000
4141000000,군포시,KBM027676,래미안하이어스,2644,201009,114.74㎡/84.97㎡,2128,1409,66,74000,49000
4136000000,남양주시,KBM039739,다산한양수자인리버팰리스,640,201712,100.79㎡/74.57㎡,2030,1097,54,62000,33500
4131000000,구리시,KBM003346,신명(토평),434,200109,117.3㎡/84.63㎡,2019,1027,51,71750,36500
4119000000,부천시,KBM035646,래미안부천중동,616,20151,112.65㎡/84.98㎡,1875,1391,74,64000,47500
4161000000,광주시,KBM036944,e편한세상광주역5단지,314,20161,110.89㎡/84.9㎡,1681,923,55,56500,31000
4139000000,시흥시,KBM037565,호반베르디움더프라임,580,201702,110.95㎡/84.67㎡,1666,863,52,56000,29000
4157000000,김포시,KBM039597,이랜드타운힐스,550,201801,117.01P㎡/84.82㎡,1636,1128,69,58000,40000
4137000000,오산시,KBM039553,세교자이,1110,201801,108.72탑층㎡/83.22㎡,1404,926,66,46250,30500
4148000000,파주시,KBM039541,운정신도시센트럴푸르지오,1956,201807,113.89A㎡/84.95㎡,1391,934,67,48000,32250
4115000000,의정부시,KBM026611,수락리버시티2단지,473,200908,106.4A㎡/84.69㎡,1334,1008,76,43000,32500
4150000000,이천시,KBM037544,이천센트럴푸르지오,554,201611,113.5㎡/84.72㎡,1148,829,72,39500,28500
4163000000,양주시,KBM039085,e편한세상양주신도시,761,201708,111.68A㎡/84.76㎡,1093,709,65,37000,24000
4122000000,평택시,KBM026371,평택롯데캐슬,828,201001,109.51탑층㎡/84.98㎡,1055,859,81,35000,28500
4155000000,안성시,KBM040270,안성아양시티프라디움,688,201805,112.73탑층㎡/84.99㎡,937,505,54,32000,17250
4167000000,여주시,KBM042285,여주KCC스위첸,388,201909,116.21AB㎡/84.93㎡,895,639,71,31500,22500
4125000000,동두천시,KBM026703,지행역동원베네스트,486,200907,110.86탑층㎡/84.88㎡,819,625,76,27500,21000
4165000000,포천시,KBM026289,포천극동2차스타클래스,291,200803,106.46㎡/84.96㎡,682,465,68,22000,15000
4113000000,성남시,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4128000000,고양시,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4146000000,용인시,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4117000000,안양시,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
