LEGL_DONG_CD,LEGL_DONG_NM,CMPX_IDF_ID,CMPX_IDF_NM,HOUSE_TYP_SEQ,TOT_HSHL_CNT,CMPL_YYMM,HOUSE_TYP_NM,PYNG_PER_SALE_PRC,PYNG_PER_JS_PRC,JS_PER_RATE,GNRL_AVG_PRC,GNRL_JS_AVG_PRC
1165000000,서초구,KBM036008,아크로리버파크,4,1612,201608,110.66㎡/84.97㎡,9095,4175,46,305000,140000
1168000000,강남구,KBM036277,래미안대치팰리스1단지,4,1278,201509,113.15㎡/84.97㎡,7947,4302,54,272500,147500
1120000000,성동구,KBM036511,트리마제,7,688,201705,128.9C㎡/84.54㎡,6016,3328,55,235000,130000
1171000000,송파구,KBM017280,리센츠,8,5563,200807,109.31㎡/84.99㎡,5781,2672,46,191500,88500
4113500000,성남시 분당구,KBM026504,판교푸르지오그랑블,1,948,201107,121.33㎡/97.71㎡,4964,2366,48,182500,87000
1159000000,동작구,KBM041329,아크로리버하임,5,1073,201811,112.55B㎡/84.91㎡,4838,2419,50,165000,82500
1117000000,용산구,KBM002614,이촌(코오롱),5,834,199911,107.17B㎡/84.78㎡,4696,2109,45,152500,68500
1144000000,마포구,KBM033087,래미안마포리버웰,7,563,201502,109.62㎡/84.98㎡,4636,2484,54,154000,82500
1111000000,종로구,KBM043944,경희궁자이(2단지),13,1148,201702,111.55㎡/84.61㎡,4630,2367,51,156500,80000
1121500000,광진구,KBM027051,광장힐스테이트,6,453,201203,115.03㎡/84.96㎡,4590,2725,59,160000,95000
4129000000,과천시,KBM040735,래미안과천센트럴스위트,14,543,201807,117.5㎡/84.94㎡,4100,2556,62,146000,91000
1141000000,서대문구,KBM043961,e편한세상신촌,11,1910,201703,115.23F㎡/84.82㎡,4024,2005,50,140500,70000
1147000000,양천구,KBM036677,목동힐스테이트,6,1081,201605,109.42㎡/84.98㎡,3936,2307,59,130500,76500
1174000000,강동구,KBM041950,고덕그라시움,25,4932,201909,114.66㎡/84.24㎡,3885,1554,40,135000,54000
1156000000,영등포구,KBM037504,래미안에스티움,6,1722,201704,109.57A㎡/84.92㎡,3840,1762,46,127500,58500
1114000000,중구,KBM037293,서울역센트럴자이,15,1341,201708,112.45㎡/84.97㎡,3815,1966,52,130000,67000
4113100000,성남시 수정구,KBM037304,위례자연앤센트럴자이,5,1413,201706,112.17㎡/84.94㎡,3726,1785,48,126667,60667
